,Match_Date,Team,Player,DOB,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,Prog_Passes,Succ_Dribbles,Att_Dribbles,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Club
96,8/6/2022,Newcastle United,Ryan Fraser,1993-09-21,"RW,RM",10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,4,5,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,8/6/2022,Newcastle United,Joelinton,1995-08-29,LM,90,0,1,0,0,3,2,0,0,65,1,2,0,0.2,0.2,0.3,6,2,50,55,90.9,7,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,8/6/2022,Newcastle United,Bruno Guimarães,1997-03-04,CM,89,0,0,0,0,1,0,0,0,85,3,1,0,0,0,0.3,7,0,64,73,87.7,7,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,8/6/2022,Newcastle United,Sven Botman,1999-06-26,"CB,CM",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,8/6/2022,Newcastle United,Joe Willock,1998-09-09,RM,79,0,0,0,0,3,1,0,0,45,4,0,2,0.2,0.2,0.2,1,0,26,30,86.7,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,8/6/2022,Newcastle United,Sean Longstaff,1997-01-29,"RM,CM",11,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0.2,1,0,3,5,60,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,8/6/2022,Newcastle United,Matt Targett,1994-11-07,LB,90,0,0,0,0,0,0,0,0,60,3,0,0,0,0,0.1,5,0,47,60,78.3,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,8/6/2022,Newcastle United,Dan Burn,1992-02-17,CB,90,0,0,0,0,4,1,0,0,46,2,0,0,0.2,0.2,0,1,0,28,33,84.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,8/6/2022,Newcastle United,Fabian Schär,1991-05-13,CB,90,1,0,0,0,2,1,0,0,68,2,3,3,0.1,0.1,0.1,2,0,38,52,73.1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,8/6/2022,Newcastle United,Kieran Trippier,1989-11-10,RB,90,0,0,0,0,1,0,0,0,99,1,4,2,0,0,0.1,5,1,63,89,70.8,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,8/6/2022,Newcastle United,Nick Pope,1992-01-08,GK,90,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,17,21,81,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,8/6/2022,Nottingham Forest,Sam Surridge,1998-07-25,FW,62,0,0,0,0,2,0,0,0,23,0,0,1,0.2,0.2,0,0,0,5,11,45.5,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,8/6/2022,Nottingham Forest,Taiwo Awoniyi,1996-08-24,"AM,FW",28,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,3,4,75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,8/6/2022,Nottingham Forest,Brennan Johnson,2001-03-14,"FW,LW",90,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,6,15,40,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,8/6/2022,Nottingham Forest,Jesse Lingard,1992-05-02,AM,90,0,0,0,0,1,0,0,0,37,0,2,0,0.1,0.1,0,3,0,25,27,92.6,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,8/6/2022,Nottingham Forest,Jack Colback,1989-01-19,"CM,DM",90,0,0,0,0,0,0,0,0,34,5,1,0,0,0,0,0,0,22,25,88,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,8/6/2022,Nottingham Forest,Lewis O'Brien,1997-12-28,CM,74,0,0,0,0,1,0,1,0,44,3,1,3,0,0,0,2,0,20,26,76.9,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,8/6/2022,Nottingham Forest,Orel Mangala,1997-11-03,"DM,CM",16,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,7,8,87.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,8/6/2022,Nottingham Forest,Harry Toffolo,1994-09-08,"WB,LB",90,0,0,0,0,0,0,0,0,61,0,1,1,0,0,0,1,0,24,49,49,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,8/6/2022,Nottingham Forest,Neco Williams,2000-12-24,"WB,RB",90,0,0,0,0,1,0,1,0,55,1,3,3,0,0,0.1,2,0,31,41,75.6,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,8/6/2022,Nottingham Forest,Scott McKenna,1996-02-25,CB,90,0,0,0,0,0,0,0,0,40,0,1,3,0,0,0,0,0,22,29,75.9,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,8/6/2022,Nottingham Forest,Moussa Niakhate,1995-10-15,CB,82,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,21,26,80.8,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,8/6/2022,Nottingham Forest,Alexander Mighten,2001-12-20,RW,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,100,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,8/6/2022,Nottingham Forest,Joe Worrall,1996-06-22,CB,90,0,0,0,0,0,0,1,0,46,3,0,2,0,0,0,0,0,29,35,82.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
