"","Match_Date","Team","Player","DOB","Pos","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","Prog"
"33","8/6/2022","Fulham","Neeskens Kebano",1991-10-20,"RW",65,11,15,73.3,123,19,4,5,80,4,5,80,0,1,0,0,0.1,0,1,0,0,0,0
"34","8/6/2022","Fulham","Manor Solomon",1999-07-17,"LW,RW",25,2,3,66.7,44,33,1,1,100,0,1,0,1,1,100,0,0,0,0,1,0,0,1
"35","8/6/2022","Fulham","Andreas Pereira",1995-06-05,"AM",88,16,30,53.3,251,141,12,18,66.7,1,2,50,3,8,37.5,0,0,0.1,1,3,0,0,2
"36","8/6/2022","Fulham","Tom Cairney",1990-07-14,"AM",2,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"37","8/6/2022","Fulham","João Palhinha",1995-06-18,"DM",90,20,26,76.9,315,99,10,14,71.4,8,9,88.9,1,2,50,0,0,0,0,5,0,0,4
"38","8/6/2022","Fulham","Harrison Reed",1994-07-27,"DM",90,19,34,55.9,204,72,13,18,72.2,2,8,25,1,3,33.3,0,0,0,1,2,1,0,2
"39","8/6/2022","Fulham","Antonee Robinson",1996-08-16,"LB",90,27,46,58.7,418,279,11,13,84.6,12,18,66.7,2,11,18.2,0,0,0,0,1,1,0,1
"40","8/6/2022","Fulham","Tim Ream",1986-12-13,"CB",90,19,27,70.4,397,221,8,9,88.9,7,9,77.8,3,8,37.5,0,0,0,0,3,0,0,4
"41","8/6/2022","Fulham","Tosin Adarabioyo",1996-11-18,"CB",90,17,26,65.4,370,161,6,9,66.7,8,10,80,3,6,50,0,0,0,0,5,0,0,5
"42","8/6/2022","Fulham","Kenny Tete",1994-12-19,"RB",90,30,47,63.8,415,214,21,26,80.8,6,13,46.2,2,3,66.7,1,0.1,0.1,1,3,1,1,0
"43","8/6/2022","Fulham","Marek Rodák",1996-04-27,"GK",90,13,32,40.6,631,590,1,1,100,0,0,NA,11,30,36.7,0,0,0,0,0,0,0,0
"44","8/6/2022","Liverpool","Roberto Firmino",1990-12-06,"FW",50,19,26,73.1,233,54,16,20,80,2,4,50,1,1,100,0,0,0,0,2,1,0,1
"45","8/6/2022","Liverpool","Darwin Núñez",1999-05-18,"FW",40,5,6,83.3,90,32,2,3,66.7,1,1,100,1,1,100,1,0.5,0.1,2,1,0,0,1
"46","8/6/2022","Liverpool","Luis Díaz",1996-06-28,"LW",77,19,23,82.6,264,41,12,15,80,5,5,100,1,1,100,0,0,0,0,1,0,0,2
"47","8/6/2022","Liverpool","Fabio Carvalho",2001-09-28,"LW",13,2,2,100,24,1,2,2,100,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"48","8/6/2022","Liverpool","Mohamed Salah",1992-05-01,"RW",90,24,34,70.6,328,113,14,19,73.7,8,11,72.7,1,2,50,0,0.1,0.2,1,2,4,1,4
"49","8/6/2022","Liverpool","Thiago Alcántara",1990-12-23,"LM",50,47,54,87,934,268,21,23,91.3,14,15,93.3,10,11,90.9,0,0.1,0,1,7,1,0,9
"50","8/6/2022","Liverpool","Harvey Elliott",2002-12-06,"RM,LM",40,17,21,81,208,57,8,9,88.9,7,7,100,0,1,0,0,0,0,1,2,0,0,3
"51","8/6/2022","Liverpool","Fabinho",1993-01-16,"CM",58,29,37,78.4,465,113,18,21,85.7,8,9,88.9,3,4,75,0,0,0,0,1,0,0,1
"52","8/6/2022","Liverpool","James Milner",1985-06-13,"LM",32,12,19,63.2,235,119,5,5,100,5,7,71.4,1,3,33.3,0,0,0.1,0,2,0,0,0
"53","8/6/2022","Liverpool","Jordan Henderson",1990-05-06,"RM,CM",90,46,65,70.8,847,289,22,28,78.6,19,28,67.9,5,8,62.5,0,0.2,0.1,2,9,3,0,5
"54","8/6/2022","Liverpool","Andrew Robertson",1993-10-21,"LB",90,59,79,74.7,1035,241,27,33,81.8,28,34,82.4,4,10,40,0,0,0.1,0,3,0,0,0
"55","8/6/2022","Liverpool","Virgil van Dijk",1991-06-17,"CB",90,79,96,82.3,1709,555,30,35,85.7,36,40,90,12,19,63.2,0,0,0,0,4,0,0,2
"56","8/6/2022","Liverpool","Joël Matip",1990-08-18,"CB",90,79,93,84.9,1467,534,28,31,90.3,46,52,88.5,4,7,57.1,0,0,0,0,6,1,0,6
"57","8/6/2022","Liverpool","Trent Alexander-Arnold",1997-12-14,"RB",90,49,85,57.6,1023,423,19,24,79.2,20,31,64.5,10,26,38.5,0,0,0.1,1,3,4,1,5
"58","8/6/2022","Liverpool","Alisson",1991-12-06,"GK",90,28,35,80,510,309,12,12,100,12,14,85.7,4,9,44.4,0,0,0,0,0,0,0,0
"59","8/6/2022","Tottenham Hotspur","Harry Kane",1993-07-26,"FW",90,19,29,65.5,308,100,8,10,80,9,13,69.2,1,4,25,0,0.2,0.1,2,5,1,0,4
"60","8/6/2022","Tottenham Hotspur","Son Heung-min",1992-06-16,"AM",90,26,41,63.4,395,100,14,16,87.5,7,12,58.3,3,7,42.9,1,0.4,0.3,4,0,3,1,3
"61","8/6/2022","Tottenham Hotspur","Dejan Kulusevski",2000-01-18,"AM",85,38,43,88.4,546,136,22,23,95.7,13,14,92.9,2,3,66.7,1,0.5,0.6,3,1,3,1,3
"62","8/6/2022","Tottenham Hotspur","Lucas Moura",1991-08-28,"AM",5,2,2,100,20,0,2,2,100,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"63","8/6/2022","Tottenham Hotspur","Pierre Højbjerg",1995-08-11,"CM",90,61,69,88.4,1234,421,20,23,87,26,27,96.3,11,14,78.6,0,0.1,0.1,2,8,2,0,11
"64","8/6/2022","Tottenham Hotspur","Rodrigo Bentancur",1997-05-20,"CM",85,56,63,88.9,900,250,27,31,87.1,20,20,100,6,9,66.7,0,0,0,0,7,0,0,3
"65","8/6/2022","Tottenham Hotspur","Yves Bissouma",1995-09-30,"CM",5,4,5,80,69,1,1,1,100,3,4,75,0,0,NA,0,0,0,1,0,0,0,0
"66","8/6/2022","Tottenham Hotspur","Ryan Sessegnon",2000-03-04,"WB",65,36,48,75,564,60,20,21,95.2,14,22,63.6,2,4,50,0,0,0,0,0,1,0,1
"67","8/6/2022","Tottenham Hotspur","Ivan Perišić",1988-08-09,"WB",25,6,9,66.7,187,18,1,3,33.3,3,3,100,2,3,66.7,0,0,0,0,0,1,1,0
"68","8/6/2022","Tottenham Hotspur","Emerson",1998-06-30,"WB",86,47,57,82.5,698,212,22,25,88,20,21,95.2,3,6,50,1,0.2,0.1,2,6,0,0,4
"69","8/6/2022","Tottenham Hotspur","Matt Doherty",1991-07-06,"WB",4,1,3,33.3,14,0,1,2,50,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"70","8/6/2022","Tottenham Hotspur","Ben Davies",1993-01-17,"CB",85,62,72,86.1,1242,546,17,20,85,33,37,89.2,10,10,100,0,0,0,1,5,1,1,7
"71","8/6/2022","Tottenham Hotspur","Clément Lenglet",1995-05-05,"CB",5,6,6,100,131,54,2,2,100,3,3,100,1,1,100,0,0,0,0,1,0,0,1
"72","8/6/2022","Tottenham Hotspur","Eric Dier",1993-07-03,"CB",90,55,63,87.3,1273,565,14,17,82.4,23,23,100,17,21,81,0,0,0,0,0,0,0,1
"73","8/6/2022","Tottenham Hotspur","Cristian Romero",1998-01-22,"CB",90,63,74,85.1,1288,358,22,22,100,31,34,91.2,9,11,81.8,0,0,0,0,4,0,0,4
"74","8/6/2022","Tottenham Hotspur","Hugo Lloris",1986-05-26,"GK",90,19,20,95,466,271,5,5,100,9,9,100,5,6,83.3,0,0,0,0,0,0,0,0
"75","8/6/2022","Southampton","Adam Armstrong",1996-08-23,"FW",45,10,10,100,151,7,6,6,100,3,3,100,0,0,NA,0,0,0,0,0,0,0,0
"76","8/6/2022","Southampton","Stuart Armstrong",1991-11-29,"LM,FW",45,13,15,86.7,154,0,12,12,100,1,1,100,0,1,0,0,0,0,0,1,0,0,0
"77","8/6/2022","Southampton","Joe Aribo",1996-07-11,"FW",90,16,21,76.2,201,19,11,13,84.6,5,7,71.4,0,0,NA,0,0,0,0,0,0,0,0
"78","8/6/2022","Southampton","Oriol Romeu",1990-11-20,"CM",74,28,30,93.3,453,79,10,11,90.9,15,16,93.8,2,2,100,0,0,0.2,0,0,2,0,3
"79","8/6/2022","Southampton","Ibrahima Diallo",1998-10-14,"CM",16,9,9,100,101,4,8,8,100,1,1,100,0,0,NA,0,0,0,0,0,0,0,0
"80","8/6/2022","Southampton","Roméo Lavia",2003-06-13,"CM",90,50,52,96.2,851,304,22,22,100,25,26,96.2,3,3,100,0,0,0,0,10,1,0,6
"81","8/6/2022","Southampton","James Ward-Prowse",1994-02-03,"CM,RM",90,34,45,75.6,575,187,19,20,95,12,16,75,3,5,60,0,0.2,0.1,4,7,3,1,2
"82","8/6/2022","Southampton","Moussa Djenepo",1998-04-30,"LB",71,20,27,74.1,242,55,15,16,93.8,5,6,83.3,0,3,0,1,0.1,0.1,1,1,0,0,0
"83","8/6/2022","Southampton","Romain Perraud",1996-11-14,"LB",19,5,8,62.5,48,13,5,5,100,0,2,0,0,0,NA,0,0,0,0,0,0,0,0
"84","8/6/2022","Southampton","Mohammed Salisu",1999-01-02,"CB",90,42,54,77.8,725,396,20,21,95.2,17,23,73.9,5,9,55.6,0,0,0.1,1,10,2,1,6
"85","8/6/2022","Southampton","Jan Bednarek",1995-12-24,"CB",90,47,52,90.4,867,254,16,16,100,29,31,93.5,2,4,50,0,0.1,0.1,2,2,0,0,1
"86","8/6/2022","Southampton","Yan Valery",1998-09-16,"CB",45,15,23,65.2,213,39,9,10,90,4,6,66.7,1,5,20,0,0,0,0,1,0,0,0
"87","8/6/2022","Southampton","Jack Stephens",1993-07-27,"CB",45,23,27,85.2,398,107,9,9,100,13,17,76.5,1,1,100,0,0,0,0,3,0,0,2
"88","8/6/2022","Southampton","Kyle Walker-Peters",1996-12-25,"RB",89,26,35,74.3,336,70,20,22,90.9,6,9,66.7,0,2,0,0,0,0,0,1,2,0,2
"89","8/6/2022","Southampton","Nathan Redmond",1993-10-11,"RB",1,0,1,0,0,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0
"90","8/6/2022","Southampton","Gavin Bazunu",2001-09-11,"GK",90,13,36,36.1,352,205,5,5,100,2,2,100,6,29,20.7,0,0,0,0,0,0,0,0
"91","8/6/2022","Newcastle United","Callum Wilson",1991-09-28,"FW",89,5,8,62.5,42,13,4,5,80,0,0,NA,0,1,0,0,0.1,0.1,2,0,1,0,2
"92","8/6/2022","Newcastle United","Chris Wood",1991-04-17,"FW",1,0,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"93","8/6/2022","Newcastle United","Allan Saint-Maximin",1996-10-22,"LW",89,35,52,67.3,524,171,20,25,80,14,22,63.6,1,1,100,0,0,0.2,1,2,5,0,7
"94","8/6/2022","Newcastle United","Jacob Murphy",1994-09-21,"LW,LM",1,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"95","8/6/2022","Newcastle United","Miguel Almirón",1993-08-24,"RW",80,32,39,82.1,431,135,20,24,83.3,10,12,83.3,1,1,100,0,0.3,0.5,2,3,2,1,3
"96","8/6/2022","Newcastle United","Ryan Fraser",1993-09-21,"RW,RM",10,4,5,80,42,1,3,3,100,1,2,50,0,0,NA,0,0,0,1,0,0,0,0
"97","8/6/2022","Newcastle United","Joelinton",1995-08-29,"LM",90,50,55,90.9,775,241,27,29,93.1,16,18,88.9,4,4,100,1,0.3,0.2,3,4,2,2,7
"98","8/6/2022","Newcastle United","Bruno Guimarães",1997-03-04,"CM",89,64,73,87.7,912,284,36,38,94.7,18,19,94.7,5,10,50,0,0.3,0.1,3,8,5,0,7
"99","8/6/2022","Newcastle United","Sven Botman",1999-06-26,"CB,CM",1,3,3,100,55,25,1,1,100,2,2,100,0,0,NA,0,0,0,0,0,0,0,0
"100","8/6/2022","Newcastle United","Joe Willock",1998-09-09,"RM",79,26,30,86.7,402,78,15,16,93.8,9,9,100,2,3,66.7,0,0.2,0.3,1,2,1,0,1
"101","8/6/2022","Newcastle United","Sean Longstaff",1997-01-29,"RM,CM",11,3,5,60,68,11,0,0,NA,3,3,100,0,2,0,0,0.2,0.1,1,0,0,0,0
"102","8/6/2022","Newcastle United","Matt Targett",1994-11-07,"LB",90,47,60,78.3,751,355,21,24,87.5,23,25,92,2,8,25,0,0.1,0.1,3,4,2,0,7
"103","8/6/2022","Newcastle United","Dan Burn",1992-02-17,"CB",90,28,33,84.8,571,142,10,12,83.3,13,16,81.3,4,4,100,0,0,0,1,1,0,0,1
"104","8/6/2022","Newcastle United","Fabian Schär",1991-05-13,"CB",90,38,52,73.1,756,372,15,18,83.3,19,23,82.6,4,11,36.4,0,0.1,0.1,1,2,1,1,3
"105","8/6/2022","Newcastle United","Kieran Trippier",1989-11-10,"RB",90,63,89,70.8,1219,630,25,33,75.8,27,36,75,9,16,56.3,0,0.1,0.1,2,9,4,1,8
"106","8/6/2022","Newcastle United","Nick Pope",1992-01-08,"GK",90,17,21,81,465,315,3,3,100,8,8,100,6,10,60,0,0,0,0,0,0,0,0
"107","8/6/2022","Nottingham Forest","Sam Surridge",1998-07-25,"FW",62,5,11,45.5,82,18,3,7,42.9,1,3,33.3,1,1,100,0,0,0,0,0,0,0,1
"108","8/6/2022","Nottingham Forest","Taiwo Awoniyi",1996-08-24,"AM,FW",28,3,4,75,45,0,0,0,NA,2,3,66.7,0,0,NA,0,0,0,0,1,0,0,0
"109","8/6/2022","Nottingham Forest","Brennan Johnson",2001-03-14,"FW,LW",90,6,15,40,54,11,4,7,57.1,1,3,33.3,0,1,0,0,0,0,0,0,0,0,1
"110","8/6/2022","Nottingham Forest","Jesse Lingard",1992-05-02,"AM",90,25,27,92.6,457,142,10,11,90.9,12,13,92.3,3,3,100,0,0,0.2,1,5,2,1,3
"111","8/6/2022","Nottingham Forest","Jack Colback",1989-01-19,"CM,DM",90,22,25,88,391,102,9,11,81.8,11,11,100,2,3,66.7,0,0,0,0,2,0,0,2
"112","8/6/2022","Nottingham Forest","Lewis O'Brien",1997-12-28,"CM",74,20,26,76.9,333,60,8,10,80,12,14,85.7,0,2,0,0,0,0,0,1,0,0,1
"113","8/6/2022","Nottingham Forest","Orel Mangala",1997-11-03,"DM,CM",16,7,8,87.5,127,39,2,2,100,5,5,100,0,1,0,0,0,0,0,0,0,0,1
"114","8/6/2022","Nottingham Forest","Harry Toffolo",1994-09-08,"WB,LB",90,24,49,49,399,192,14,18,77.8,8,17,47.1,2,11,18.2,0,0,0,0,0,0,0,0
"115","8/6/2022","Nottingham Forest","Neco Williams",2000-12-24,"WB,RB",90,31,41,75.6,637,244,10,12,83.3,17,20,85,4,8,50,0,0.1,0.1,1,2,1,1,2
"116","8/6/2022","Nottingham Forest","Scott McKenna",1996-02-25,"CB",90,22,29,75.9,442,209,3,5,60,18,20,90,1,4,25,0,0,0,0,2,0,0,1
"117","8/6/2022","Nottingham Forest","Moussa Niakhate",1995-10-15,"CB",82,21,26,80.8,434,133,4,5,80,15,16,93.8,2,4,50,0,0,0,0,0,0,0,0
"118","8/6/2022","Nottingham Forest","Alexander Mighten",2001-12-20,"RW",8,1,1,100,11,0,1,1,100,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"119","8/6/2022","Nottingham Forest","Joe Worrall",1996-06-22,"CB",90,29,35,82.9,611,206,8,10,80,17,19,89.5,4,6,66.7,0,0,0,0,3,0,0,0
"120","8/6/2022","Nottingham Forest","Dean Henderson",1996-10-22,"GK",90,27,45,60,739,508,6,6,100,10,10,100,11,29,37.9,0,0,0,0,0,0,0,0
"121","8/6/2022","Leeds United","Patrick Bamford",1992-10-12,"FW",83,11,15,73.3,95,21,8,10,80,0,2,0,0,0,NA,0,0,0,0,2,1,0,1
"122","8/6/2022","Leeds United","Joe Gelhardt",2002-02-04,"FW",7,1,1,100,9,5,1,1,100,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0
"123","8/6/2022","Leeds United","Jack Harrison",1996-03-12,"LW",90,20,32,62.5,411,160,9,13,69.2,6,8,75,5,8,62.5,1,0.6,0.3,6,2,2,1,1
"124","8/6/2022","Leeds United","Brenden Aaronson",2000-01-13,"RW",83,15,27,55.6,216,78,5,9,55.6,8,11,72.7,0,2,0,0,0,0,0,0,0,0,4
"125","8/6/2022","Leeds United","Crysencio Summerville",2001-01-28,"RW",7,1,2,50,9,8,1,2,50,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"126","8/6/2022","Leeds United","Rodrigo",1990-10-12,"AM",64,11,20,55,186,48,4,6,66.7,2,7,28.6,3,5,60,0,0,0,0,3,0,0,1
"127","8/6/2022","Leeds United","Mateusz Klich",1990-04-28,"AM",26,9,12,75,153,37,4,6,66.7,3,3,100,1,1,100,0,0,0,0,0,2,0,2
"128","8/6/2022","Leeds United","Tyler Adams",1998-08-31,"DM",90,29,34,85.3,433,153,11,14,78.6,16,17,94.1,0,1,0,0,0,0,1,2,0,0,2
"129","8/6/2022","Leeds United","Marc Roca",1996-03-24,"DM",72,30,36,83.3,552,322,14,15,93.3,12,13,92.3,4,6,66.7,0,0,0,1,7,0,0,4
"130","8/6/2022","Leeds United","Sam Greenwood",2001-07-23,"DM",18,5,7,71.4,59,12,5,5,100,0,0,NA,0,2,0,0,0,0,0,0,0,0,0
"131","8/6/2022","Leeds United","Pascal Struijk",1998-08-22,"LB",90,39,53,73.6,529,238,25,29,86.2,10,14,71.4,2,7,28.6,0,0,0,0,4,0,0,2
"132","8/6/2022","Leeds United","Diego Llorente",1992-09-02,"CB",90,38,47,80.9,746,213,15,16,93.8,19,24,79.2,4,6,66.7,0,0,0,0,2,0,0,3
"133","8/6/2022","Leeds United","Robin Koch",1996-07-03,"CB",90,34,39,87.2,674,320,8,8,100,23,25,92,3,5,60,0,0,0,0,1,0,0,2
"134","8/6/2022","Leeds United","Rasmus Nissen",1997-06-21,"RB",90,31,45,68.9,647,280,8,13,61.5,18,22,81.8,4,9,44.4,0,0,0,1,6,2,0,5
"135","8/6/2022","Leeds United","Illan Meslier",1999-10-02,"GK",90,21,29,72.4,364,222,9,9,100,10,10,100,2,10,20,0,0,0,0,0,0,0,0
"136","8/6/2022","Wolverhampton Wanderers","Hwang Hee-chan",1995-07-25,"FW",84,12,17,70.6,183,23,7,9,77.8,5,6,83.3,0,1,0,1,0.7,0.2,2,0,0,0,1
"137","8/6/2022","Wolverhampton Wanderers","Chem Campbell",2002-05-30,"FW",6,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"138","8/6/2022","Wolverhampton Wanderers","Pedro Neto",1999-10-16,"LW",90,30,40,75,453,98,19,20,95,5,10,50,3,6,50,0,0.1,0.2,1,0,1,1,1
"139","8/6/2022","Wolverhampton Wanderers","Daniel Podence",1995-01-12,"RW",90,30,45,66.7,429,104,18,23,78.3,7,14,50,2,2,100,0,0.1,0.1,3,0,2,0,5
"140","8/6/2022","Wolverhampton Wanderers","Morgan Gibbs-White",1999-07-26,"AM",90,39,51,76.5,637,243,23,28,82.1,8,11,72.7,5,7,71.4,0,0.1,0.2,1,4,1,0,5
"141","8/6/2022","Wolverhampton Wanderers","Rúben Neves",1996-10-24,"DM",90,55,61,90.2,1291,399,16,17,94.1,25,26,96.2,14,18,77.8,0,0.1,0,2,7,1,0,6
"142","8/6/2022","Wolverhampton Wanderers","Leander Dendoncker",1994-12-30,"DM",90,45,48,93.8,696,124,24,26,92.3,18,18,100,2,2,100,0,0,0,1,1,1,1,2
"143","8/6/2022","Wolverhampton Wanderers","Rayan Aït Nouri",2001-04-11,"LB",90,65,75,86.7,969,391,42,45,93.3,18,20,90,3,5,60,0,0.2,0.3,3,6,2,1,3
"144","8/6/2022","Wolverhampton Wanderers","Max Kilman",1997-03-15,"CB",90,75,83,90.4,1453,569,27,28,96.4,42,45,93.3,6,10,60,0,0,0,0,3,0,0,2
"145","8/6/2022","Wolverhampton Wanderers","Nathan Collins",2001-01-27,"CB",90,68,75,90.7,1408,535,22,23,95.7,37,39,94.9,9,13,69.2,0,0,0,0,7,0,0,1
"146","8/6/2022","Wolverhampton Wanderers","Jonny Castro",1993-10-05,"RB",90,54,64,84.4,847,268,27,29,93.1,19,22,86.4,4,7,57.1,0,0,0,0,2,0,0,3
"147","8/6/2022","Wolverhampton Wanderers","José Sá",1992-07-07,"GK",90,29,38,76.3,609,360,6,6,100,19,20,95,4,12,33.3,0,0,0,0,0,0,0,0
"148","8/6/2022","Bournemouth","Kieffer Moore",1991-08-18,"FW",90,16,24,66.7,231,68,11,14,78.6,2,4,50,2,3,66.7,0,0,0,0,3,1,0,2
"149","8/6/2022","Bournemouth","Dominic Solanke",1996-10-29,"AM",89,5,8,62.5,71,36,4,6,66.7,0,1,0,1,1,100,0,0,0,0,0,0,0,0
"150","8/6/2022","Bournemouth","Junior Stanislas",1989-03-26,"FW",1,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"151","8/6/2022","Bournemouth","Marcus Tavernier",1998-11-11,"AM",85,17,32,53.1,309,120,8,11,72.7,4,8,50,4,7,57.1,0,0.1,0.1,3,1,1,0,1
"152","8/6/2022","Bournemouth","Ryan Christie",1994-09-17,"AM",5,1,2,50,8,7,1,1,100,0,0,NA,0,1,0,0,0,0,0,0,0,0,0
