,Match_Date,Team,Player,DOB,Pos,Min,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
13,8/5/2022,Crystal Palace,Joachim Andersen,4/1/1996,CB,90,107,102,5,3,0,4,1,2,0,0,0,0,93,0,0
14,8/5/2022,Crystal Palace,Nathaniel Clyne,12/12/1990,RB,90,68,58,10,0,0,0,2,10,0,0,0,0,59,0,0
15,8/5/2022,Crystal Palace,Vicente Guaita,6/26/1986,GK,90,39,31,8,4,0,1,0,0,0,0,0,0,37,0,0
16,8/5/2022,Arsenal,Gabriel Jesus,12/6/1996,FW,82,28,27,1,0,0,0,0,0,0,0,0,0,20,0,2
17,8/5/2022,Arsenal,Eddie Nketiah,3/30/1999,FW,8,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
18,8/5/2022,Arsenal,Martinelli,5/6/2001,LW,90,28,27,1,0,0,1,2,0,1,1,0,0,24,0,0
19,8/5/2022,Arsenal,Bukayo Saka,10/11/2000,RW,90,35,30,5,1,0,0,6,0,4,4,0,0,25,0,0
20,8/5/2022,Arsenal,Granit Xhaka,11/27/1991,LM,90,48,44,4,3,0,0,0,1,0,0,0,0,41,0,0
21,8/5/2022,Arsenal,Thomas Partey,4/28/1993,CM,90,47,45,2,2,0,0,0,0,0,0,0,0,38,0,0
22,8/5/2022,Arsenal,Martin Ødegaard,5/6/1998,RM,89,41,38,2,2,0,0,1,0,0,0,0,0,29,1,4
23,8/5/2022,Arsenal,Albert Sambi Lokonga,1/14/1999,"CM,RW",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,8/5/2022,Arsenal,Oleksandr Zinchenko,5/2/1996,LB,82,55,49,5,0,0,0,1,5,0,0,0,0,43,1,0
25,8/5/2022,Arsenal,Kieran Tierney,4/11/1997,LB,8,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
26,8/5/2022,Arsenal,Gabriel Dos Santos,5/10/1997,CB,90,58,57,1,1,0,3,0,0,0,0,0,0,52,0,0
27,8/5/2022,Arsenal,William Saliba,11/15/2000,CB,90,48,47,1,1,0,0,0,0,0,0,0,0,45,0,0
28,8/5/2022,Arsenal,Ben White,12/17/1996,RB,90,41,32,9,1,0,0,1,8,0,0,0,0,31,0,0
29,8/5/2022,Arsenal,Aaron Ramsdale,2/26/1998,GK,90,32,25,7,5,0,0,0,0,0,0,0,0,24,0,0
30,8/6/2022,Fulham,Aleksandar Mitrović,11/3/1993,FW,90,28,28,0,0,1,0,0,0,0,0,0,0,10,0,4
31,8/6/2022,Fulham,Bobby Reid,8/8/1992,"LW,RW",89,26,25,0,0,0,0,4,0,0,0,0,0,19,1,2
32,8/6/2022,Fulham,Shane Duffy,6/6/1991,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8/6/2022,Fulham,Neeskens Kebano,10/20/1991,RW,65,15,15,0,0,0,1,1,0,0,0,0,0,11,0,1
34,8/6/2022,Fulham,Manor Solomon,7/17/1999,"LW,RW",25,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
35,8/6/2022,Fulham,Andreas Pereira,6/5/1995,AM,88,30,24,5,1,0,0,6,0,4,2,1,0,16,1,1
36,8/6/2022,Fulham,Tom Cairney,7/14/1990,AM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8/6/2022,Fulham,João Palhinha,6/18/1995,DM,90,26,22,4,1,0,0,0,0,0,0,0,0,20,0,0
38,8/6/2022,Fulham,Harrison Reed,7/27/1994,DM,90,34,33,0,0,0,0,2,0,0,0,0,0,19,1,0
39,8/6/2022,Fulham,Antonee Robinson,8/16/1996,LB,90,46,37,9,0,0,0,3,9,0,0,0,0,27,0,2
40,8/6/2022,Fulham,Tim Ream,12/13/1986,CB,90,27,26,1,1,0,0,0,0,0,0,0,0,19,0,0
41,8/6/2022,Fulham,Tosin Adarabioyo,11/18/1996,CB,90,26,25,1,1,0,1,0,0,0,0,0,0,17,0,1
42,8/6/2022,Fulham,Kenny Tete,12/19/1994,RB,90,47,31,15,2,0,0,3,13,0,0,0,0,30,1,3
43,8/6/2022,Fulham,Marek Rodák,4/27/1996,GK,90,32,18,14,6,0,0,0,0,0,0,0,0,13,0,0
44,8/6/2022,Liverpool,Roberto Firmino,12/6/1990,FW,50,26,24,1,0,0,0,0,1,0,0,0,0,19,1,0
45,8/6/2022,Liverpool,Darwin Núñez,5/18/1999,FW,40,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
46,8/6/2022,Liverpool,Luis Díaz,6/28/1996,LW,77,23,23,0,0,0,0,0,0,0,0,0,0,19,0,1
47,8/6/2022,Liverpool,Fabio Carvalho,9/28/2001,LW,13,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
48,8/6/2022,Liverpool,Mohamed Salah,5/1/1992,RW,90,34,33,1,0,0,0,1,1,0,0,0,0,24,0,0
49,8/6/2022,Liverpool,Thiago Alcántara,12/23/1990,LM,50,54,50,4,3,1,2,0,0,0,0,0,0,47,0,2
50,8/6/2022,Liverpool,Harvey Elliott,12/6/2002,"RM,LM",40,21,20,1,0,0,0,1,0,0,0,0,0,17,0,0
51,8/6/2022,Liverpool,Fabinho,1/16/1993,CM,58,37,37,0,0,1,1,1,0,0,0,0,0,29,0,1
52,8/6/2022,Liverpool,James Milner,6/13/1985,LM,32,19,17,1,0,0,1,1,1,0,0,0,0,12,1,1
53,8/6/2022,Liverpool,Jordan Henderson,5/6/1990,"RM,CM",90,65,62,3,1,2,1,1,1,0,0,0,0,46,0,0
54,8/6/2022,Liverpool,Andrew Robertson,10/21/1993,LB,90,79,58,21,3,0,0,4,17,1,0,1,0,59,0,0
55,8/6/2022,Liverpool,Virgil van Dijk,6/17/1991,CB,90,96,92,3,3,0,1,0,0,0,0,0,0,79,1,0
56,8/6/2022,Liverpool,Joël Matip,8/18/1990,CB,90,93,92,1,1,0,0,0,0,0,0,0,0,79,0,1
57,8/6/2022,Liverpool,Trent Alexander-Arnold,12/14/1997,RB,90,85,67,17,0,0,2,9,14,3,0,3,0,49,1,1
58,8/6/2022,Liverpool,Alisson,12/6/1991,GK,90,35,29,6,1,0,0,0,0,0,0,0,0,28,0,0
59,8/6/2022,Tottenham Hotspur,Harry Kane,7/26/1993,FW,90,29,26,2,0,0,0,2,0,0,0,0,0,19,1,0
60,8/6/2022,Tottenham Hotspur,Son Heung-min,6/16/1992,AM,90,41,32,8,0,0,0,7,0,8,1,5,0,26,1,2
61,8/6/2022,Tottenham Hotspur,Dejan Kulusevski,1/18/2000,AM,85,43,40,3,0,0,0,3,1,2,0,0,0,38,0,2
62,8/6/2022,Tottenham Hotspur,Lucas Moura,8/28/1991,AM,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
63,8/6/2022,Tottenham Hotspur,Pierre Højbjerg,8/11/1995,CM,90,69,69,0,0,1,2,0,0,0,0,0,0,61,0,0
64,8/6/2022,Tottenham Hotspur,Rodrigo Bentancur,5/20/1997,CM,85,63,62,1,1,0,1,1,0,0,0,0,0,56,0,0
65,8/6/2022,Tottenham Hotspur,Yves Bissouma,9/30/1995,CM,5,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
66,8/6/2022,Tottenham Hotspur,Ryan Sessegnon,3/4/2000,WB,65,48,34,14,0,0,0,4,14,0,0,0,0,36,0,1
67,8/6/2022,Tottenham Hotspur,Ivan Perišić,8/9/1988,WB,25,9,8,1,0,0,0,2,1,0,0,0,0,6,0,0
68,8/6/2022,Tottenham Hotspur,Emerson,6/30/1998,WB,86,57,52,5,1,0,0,3,4,0,0,0,0,47,0,2
69,8/6/2022,Tottenham Hotspur,Matt Doherty,7/6/1991,WB,4,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
70,8/6/2022,Tottenham Hotspur,Ben Davies,1/17/1993,CB,85,72,72,0,0,0,1,2,0,0,0,0,0,62,0,0
71,8/6/2022,Tottenham Hotspur,Clément Lenglet,5/5/1995,CB,5,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
72,8/6/2022,Tottenham Hotspur,Eric Dier,7/3/1993,CB,90,63,61,2,1,0,1,0,0,0,0,0,0,55,0,1
73,8/6/2022,Tottenham Hotspur,Cristian Romero,1/22/1998,CB,90,74,72,2,2,0,7,0,0,0,0,0,0,63,0,4
74,8/6/2022,Tottenham Hotspur,Hugo Lloris,5/26/1986,GK,90,20,14,6,1,0,0,0,0,0,0,0,0,19,0,0
75,8/6/2022,Southampton,Adam Armstrong,8/23/1996,FW,45,10,7,3,0,0,0,0,0,0,0,0,0,10,0,0
76,8/6/2022,Southampton,Stuart Armstrong,11/29/1991,"LM,FW",45,15,15,0,0,0,0,0,0,0,0,0,0,13,0,1
77,8/6/2022,Southampton,Joe Aribo,7/11/1996,FW,90,21,19,2,0,0,0,0,0,0,0,0,0,16,0,0
78,8/6/2022,Southampton,Oriol Romeu,11/20/1990,CM,74,30,30,0,0,0,0,1,0,0,0,0,0,28,0,0
79,8/6/2022,Southampton,Ibrahima Diallo,10/14/1998,CM,16,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0
80,8/6/2022,Southampton,Roméo Lavia,6/13/2003,CM,90,52,52,0,0,0,0,0,0,0,0,0,0,50,0,1
81,8/6/2022,Southampton,James Ward-Prowse,2/3/1994,"CM,RM",90,45,41,4,2,1,0,7,0,2,1,1,0,34,0,3
82,8/6/2022,Southampton,Moussa Djenepo,4/30/1998,LB,71,27,25,2,0,0,0,0,2,0,0,0,0,20,0,2
83,8/6/2022,Southampton,Romain Perraud,11/14/1996,LB,19,8,6,2,1,0,0,2,1,0,0,0,0,5,0,1
84,8/6/2022,Southampton,Mohammed Salisu,1/2/1999,CB,90,54,48,6,2,0,0,3,4,0,0,0,0,42,0,0
85,8/6/2022,Southampton,Jan Bednarek,12/24/1995,CB,90,52,48,4,4,0,0,0,0,0,0,0,0,47,0,0
86,8/6/2022,Southampton,Yan Valery,9/16/1998,CB,45,23,23,0,0,0,0,1,0,0,0,0,0,15,0,1
87,8/6/2022,Southampton,Jack Stephens,7/27/1993,CB,45,27,24,3,1,0,0,0,2,0,0,0,0,23,0,0
88,8/6/2022,Southampton,Kyle Walker-Peters,12/25/1996,RB,89,35,30,5,0,0,0,3,5,0,0,0,0,26,0,2
89,8/6/2022,Southampton,Nathan Redmond,10/11/1993,RB,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
90,8/6/2022,Southampton,Gavin Bazunu,9/11/2001,GK,90,36,29,7,3,0,0,0,0,0,0,0,0,13,0,0
91,8/6/2022,Newcastle United,Callum Wilson,9/28/1991,FW,89,8,8,0,0,1,0,1,0,0,0,0,0,5,0,1
92,8/6/2022,Newcastle United,Chris Wood,4/17/1991,FW,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
93,8/6/2022,Newcastle United,Allan Saint-Maximin,10/22/1996,LW,89,52,51,1,0,0,0,4,1,0,0,0,0,35,0,2
94,8/6/2022,Newcastle United,Jacob Murphy,9/21/1994,"LW,LM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,8/6/2022,Newcastle United,Miguel Almirón,8/24/1993,RW,80,39,37,2,0,0,0,1,2,0,0,0,0,32,0,0
96,8/6/2022,Newcastle United,Ryan Fraser,9/21/1993,"RW,RM",10,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
97,8/6/2022,Newcastle United,Joelinton,8/29/1995,LM,90,55,52,3,1,0,1,2,0,1,0,0,0,50,0,0
98,8/6/2022,Newcastle United,Bruno Guimarães,3/4/1997,CM,89,73,71,2,2,3,0,1,0,0,0,0,0,64,0,1
99,8/6/2022,Newcastle United,Sven Botman,6/26/1999,"CB,CM",1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
100,8/6/2022,Newcastle United,Joe Willock,9/9/1998,RM,79,30,29,0,0,0,0,1,0,0,0,0,0,26,1,0
101,8/6/2022,Newcastle United,Sean Longstaff,1/29/1997,"RM,CM",11,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
102,8/6/2022,Newcastle United,Matt Targett,11/7/1994,LB,90,60,49,10,2,0,0,4,5,3,1,1,0,47,1,2
103,8/6/2022,Newcastle United,Dan Burn,2/17/1992,CB,90,33,31,2,2,0,0,0,0,0,0,0,0,28,0,0
104,8/6/2022,Newcastle United,Fabian Schär,5/13/1991,CB,90,52,50,2,2,0,1,1,0,0,0,0,0,38,0,0
105,8/6/2022,Newcastle United,Kieran Trippier,11/10/1989,RB,90,89,67,22,2,0,1,10,13,7,2,2,2,63,0,1
106,8/6/2022,Newcastle United,Nick Pope,1/8/1992,GK,90,21,18,3,1,0,0,0,0,0,0,0,0,17,0,0
107,8/6/2022,Nottingham Forest,Sam Surridge,7/25/1998,FW,62,11,11,0,0,0,0,1,0,0,0,0,0,5,0,0
108,8/6/2022,Nottingham Forest,Taiwo Awoniyi,8/24/1996,"AM,FW",28,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
109,8/6/2022,Nottingham Forest,Brennan Johnson,3/14/2001,"FW,LW",90,15,14,1,0,0,0,1,0,1,1,0,0,6,0,2
110,8/6/2022,Nottingham Forest,Jesse Lingard,5/2/1992,AM,90,27,22,5,1,0,0,1,1,0,0,0,0,25,0,0
111,8/6/2022,Nottingham Forest,Jack Colback,1/19/1989,"CM,DM",90,25,24,1,1,0,0,0,0,0,0,0,0,22,0,0
112,8/6/2022,Nottingham Forest,Lewis O'Brien,12/28/1997,CM,74,26,25,1,1,0,0,0,0,0,0,0,0,20,0,0
113,8/6/2022,Nottingham Forest,Orel Mangala,11/3/1997,"DM,CM",16,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
114,8/6/2022,Nottingham Forest,Harry Toffolo,9/8/1994,"WB,LB",90,49,39,10,0,0,0,4,10,0,0,0,0,24,0,3
115,8/6/2022,Nottingham Forest,Neco Williams,12/24/2000,"WB,RB",90,41,28,13,3,0,0,2,10,0,0,0,0,31,0,0
116,8/6/2022,Nottingham Forest,Scott McKenna,2/25/1996,CB,90,29,25,4,0,0,0,0,4,0,0,0,0,22,0,0
117,8/6/2022,Nottingham Forest,Moussa Niakhate,10/15/1995,CB,82,26,24,2,2,0,0,0,0,0,0,0,0,21,0,1
118,8/6/2022,Nottingham Forest,Alexander Mighten,12/20/2001,RW,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
119,8/6/2022,Nottingham Forest,Joe Worrall,6/22/1996,CB,90,35,34,1,0,0,0,0,1,0,0,0,0,29,0,0
120,8/6/2022,Nottingham Forest,Dean Henderson,10/22/1996,GK,90,45,30,15,3,0,0,0,0,0,0,0,0,27,0,0
121,8/6/2022,Leeds United,Patrick Bamford,10/12/1992,FW,83,15,14,1,0,0,0,0,0,0,0,0,0,11,0,0
122,8/6/2022,Leeds United,Joe Gelhardt,2/4/2002,FW,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
123,8/6/2022,Leeds United,Jack Harrison,3/12/1996,LW,90,32,27,5,2,0,0,7,0,3,1,1,1,20,0,2
124,8/6/2022,Leeds United,Brenden Aaronson,1/13/2000,RW,83,27,23,4,1,0,0,5,1,2,0,2,0,15,0,0
125,8/6/2022,Leeds United,Crysencio Summerville,1/28/2001,RW,7,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
126,8/6/2022,Leeds United,Rodrigo,10/12/1990,AM,64,20,19,1,0,0,0,2,0,0,0,0,0,11,0,0
127,8/6/2022,Leeds United,Mateusz Klich,4/28/1990,AM,26,12,12,0,0,0,0,1,0,0,0,0,0,9,0,1
128,8/6/2022,Leeds United,Tyler Adams,8/31/1998,DM,90,34,32,2,1,0,0,0,1,0,0,0,0,29,0,0
129,8/6/2022,Leeds United,Marc Roca,3/24/1996,DM,72,36,36,0,0,0,0,1,0,0,0,0,0,30,0,1
130,8/6/2022,Leeds United,Sam Greenwood,7/23/2001,DM,18,7,6,1,0,0,0,2,0,1,0,1,0,5,0,0
131,8/6/2022,Leeds United,Pascal Struijk,8/22/1998,LB,90,53,44,9,1,0,1,0,8,0,0,0,0,39,0,0
132,8/6/2022,Leeds United,Diego Llorente,9/2/1992,CB,90,47,45,2,2,0,2,1,0,0,0,0,0,38,0,0
133,8/6/2022,Leeds United,Robin Koch,7/3/1996,CB,90,39,39,0,0,0,0,0,0,0,0,0,0,34,0,0
134,8/6/2022,Leeds United,Rasmus Nissen,6/21/1997,RB,90,45,38,7,1,0,0,1,6,0,0,0,0,31,0,0
135,8/6/2022,Leeds United,Illan Meslier,10/2/1999,GK,90,29,19,10,1,0,0,0,0,0,0,0,0,21,0,0
136,8/6/2022,Wolverhampton Wanderers,Hwang Hee-chan,7/25/1995,FW,84,17,16,1,0,0,0,1,0,0,0,0,0,12,0,1
137,8/6/2022,Wolverhampton Wanderers,Chem Campbell,5/30/2002,FW,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,8/6/2022,Wolverhampton Wanderers,Pedro Neto,10/16/1999,LW,90,40,36,4,2,0,0,8,0,2,1,1,0,30,0,1
139,8/6/2022,Wolverhampton Wanderers,Daniel Podence,1/12/1995,RW,90,45,43,2,0,1,0,1,0,0,0,0,0,30,0,3
140,8/6/2022,Wolverhampton Wanderers,Morgan Gibbs-White,7/26/1999,AM,90,51,48,3,1,0,1,5,0,2,0,2,0,39,0,2
141,8/6/2022,Wolverhampton Wanderers,Rúben Neves,10/24/1996,DM,90,61,59,2,2,0,0,0,0,0,0,0,0,55,0,0
142,8/6/2022,Wolverhampton Wanderers,Leander Dendoncker,12/30/1994,DM,90,48,47,1,1,0,0,1,0,0,0,0,0,45,0,1
143,8/6/2022,Wolverhampton Wanderers,Rayan Aït Nouri,4/11/2001,LB,90,75,61,14,2,0,0,2,12,0,0,0,0,65,0,1
144,8/6/2022,Wolverhampton Wanderers,Max Kilman,3/15/1997,CB,90,83,82,1,1,0,0,0,0,0,0,0,0,75,0,0
145,8/6/2022,Wolverhampton Wanderers,Nathan Collins,1/27/2001,CB,90,75,75,0,0,0,1,0,0,0,0,0,0,68,0,0
146,8/6/2022,Wolverhampton Wanderers,Jonny Castro,10/5/1993,RB,90,64,49,14,3,0,0,2,11,0,0,0,0,54,1,1
147,8/6/2022,Wolverhampton Wanderers,José Sá,7/7/1992,GK,90,38,28,10,1,0,0,0,0,0,0,0,0,29,0,0
148,8/6/2022,Bournemouth,Kieffer Moore,8/18/1991,FW,90,24,24,0,0,0,0,1,0,0,0,0,0,16,0,0
149,8/6/2022,Bournemouth,Dominic Solanke,10/29/1996,AM,89,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0
150,8/6/2022,Bournemouth,Junior Stanislas,3/26/1989,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,8/6/2022,Bournemouth,Marcus Tavernier,11/11/1998,AM,85,32,26,6,2,1,0,8,0,4,2,2,0,17,0,4
152,8/6/2022,Bournemouth,Ryan Christie,9/17/1994,AM,5,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0
153,8/6/2022,Bournemouth,Philip Billing,4/22/1996,CM,90,30,28,2,2,0,1,0,0,0,0,0,0,24,0,0
154,8/6/2022,Bournemouth,Ben Pearson,6/11/1994,CM,71,33,30,3,2,0,0,0,0,0,0,0,0,23,0,1
155,8/6/2022,Bournemouth,Lewis Cook,8/9/1996,CM,19,9,8,1,1,0,0,0,0,0,0,0,0,5,0,1
156,8/6/2022,Bournemouth,Jordan Zemura,2/28/1999,WB,90,26,22,4,0,0,0,0,4,0,0,0,0,19,0,1
157,8/6/2022,Bournemouth,Adam Smith,1/28/1991,WB,90,33,25,8,0,0,0,1,8,0,0,0,0,21,0,1
158,8/6/2022,Bournemouth,Lloyd Kelly,12/12/1997,CB,90,29,25,4,2,0,1,1,2,0,0,0,0,17,0,0
159,8/6/2022,Bournemouth,Chris Mepham,2/10/1997,CB,90,48,47,0,0,0,1,0,0,0,0,0,0,38,1,0
160,8/6/2022,Bournemouth,Jefferson Lerma,1/20/1994,CB,90,27,21,6,6,0,0,0,0,0,0,0,0,21,0,0
161,8/6/2022,Bournemouth,Mark Travers,3/5/1999,GK,90,32,15,17,5,0,0,0,0,0,0,0,0,26,0,0
162,8/6/2022,Aston Villa,Danny Ings,7/16/1992,FW,65,16,14,2,0,0,0,1,0,0,0,0,0,12,0,1
163,8/6/2022,Aston Villa,Ollie Watkins,6/1/1995,FW,25,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0
164,8/6/2022,Aston Villa,Philippe Coutinho,4/25/1992,"LW,AM",80,48,46,2,2,1,0,3,0,0,0,0,0,35,0,0
165,8/6/2022,Aston Villa,Cameron Archer,7/10/2001,AM,10,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
166,8/6/2022,Aston Villa,Leon Bailey,8/18/1996,RW,90,39,37,2,0,2,0,9,2,0,0,0,0,27,0,1
167,8/6/2022,Aston Villa,Jacob Ramsey,3/24/2001,LM,45,33,32,0,0,0,0,0,0,0,0,0,0,29,1,0
168,8/6/2022,Aston Villa,Emi Buendía,5/21/1996,LW,45,30,29,1,1,0,0,0,0,0,0,0,0,27,0,0
169,8/6/2022,Aston Villa,Boubacar Kamara,3/18/1999,"CM,DM",81,72,69,3,3,0,0,0,0,0,0,0,0,61,0,2
170,8/6/2022,Aston Villa,Douglas Luiz,2/15/1998,DM,9,16,13,3,2,0,0,0,1,0,0,0,0,16,0,0
171,8/6/2022,Aston Villa,John McGinn,1/6/1994,"DM,RM",90,58,54,4,3,0,1,3,0,1,0,0,0,46,0,2
172,8/6/2022,Aston Villa,Lucas Digne,7/10/1993,LB,90,79,66,13,1,0,0,8,8,4,2,1,0,64,0,2
173,8/6/2022,Aston Villa,Diego Carlos,10/29/1992,CB,90,75,70,4,3,0,0,1,1,0,0,0,0,57,1,1
174,8/6/2022,Aston Villa,Ezri Konsa,1/15/1997,CB,90,64,62,2,2,0,0,0,0,0,0,0,0,57,0,0
175,8/6/2022,Aston Villa,Matty Cash,8/14/1996,RB,90,77,68,8,1,0,0,6,7,0,0,0,0,60,1,2
176,8/6/2022,Aston Villa,Emiliano Martínez,10/7/1991,GK,90,17,12,4,1,0,0,0,0,0,0,0,0,13,1,0
177,8/6/2022,Everton,Anthony Gordon,9/19/2000,FW,90,17,17,0,0,0,0,2,0,0,0,0,0,10,0,2
178,8/6/2022,Everton,Demarai Gray,5/26/1996,"LM,RM",90,28,21,7,3,1,0,5,0,2,2,0,0,12,0,2
179,8/6/2022,Everton,Alex Iwobi,2/4/1996,CM,90,38,38,0,0,0,1,0,0,0,0,0,0,31,0,0
180,8/6/2022,Everton,Abdoulaye Doucouré,6/5/1992,CM,90,36,36,0,0,0,0,0,0,0,0,0,0,32,0,0
181,8/6/2022,Everton,Dwight McNeil,3/16/1999,RM,60,24,22,2,0,0,0,3,0,2,2,0,0,16,0,5
182,8/6/2022,Everton,Dele Alli,12/22/1995,LM,30,13,12,1,1,0,0,0,0,0,0,0,0,10,0,0
183,8/6/2022,Everton,Vitaliy Mykolenko,3/27/1999,"LB,CB",90,39,30,9,0,0,0,2,9,0,0,0,0,29,0,0
184,8/6/2022,Everton,James Tarkowski,3/11/1992,CB,90,37,35,2,1,1,1,0,1,0,0,0,0,30,0,0
185,8/6/2022,Everton,Yerry Mina,11/17/1993,CB,69,16,15,1,1,0,1,0,0,0,0,0,0,14,0,0
186,8/6/2022,Everton,Rúben Vinagre,12/17/1998,LB,21,20,15,5,1,0,0,1,4,0,0,0,0,14,0,0
187,8/6/2022,Everton,Ben Godfrey,7/2/1997,CB,17,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1
188,8/6/2022,Everton,Mason Holgate,1/14/1996,CB,73,28,25,3,2,0,1,1,1,0,0,0,0,15,0,0
189,8/6/2022,Everton,Nathan Patterson,12/31/2000,RB,90,38,31,7,0,0,0,1,7,0,0,0,0,34,0,1
190,8/6/2022,Everton,Jordan Pickford,10/13/1993,GK,90,38,29,9,4,0,0,0,0,0,0,0,0,21,0,1
191,8/6/2022,Chelsea,Raheem Sterling,4/18/1994,"FW,LW",90,27,27,0,0,2,0,0,0,0,0,0,0,19,0,1
192,8/6/2022,Chelsea,Kai Havertz,4/22/1999,LW,74,23,22,1,1,0,0,0,0,0,0,0,0,19,0,0
193,8/6/2022,Chelsea,Armando Broja,10/20/2000,FW,16,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
194,8/6/2022,Chelsea,Mason Mount,6/22/1998,RW,64,30,28,2,0,0,0,2,1,0,0,0,0,26,0,1
195,8/6/2022,Chelsea,Christian Pulisic,11/6/1997,RW,26,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
196,8/6/2022,Chelsea,Ben Chilwell,5/13/1996,LM,64,33,27,6,0,0,0,2,4,2,1,0,0,27,0,1
197,8/6/2022,Chelsea,Ruben Loftus-Cheek,7/19/1995,RM,26,12,11,1,0,0,0,0,1,0,0,0,0,9,0,0
198,8/6/2022,Chelsea,Jorginho,5/13/1991,CM,89,72,71,1,1,1,0,0,0,0,0,0,0,60,0,2
199,8/6/2022,Chelsea,Conor Gallagher,8/15/1999,CM,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
200,8/6/2022,Chelsea,N'Golo Kanté,11/27/1990,CM,90,72,71,0,0,0,0,1,0,0,0,0,0,61,1,2
201,8/6/2022,Chelsea,Reece James,4/17/1999,"RM,CB,LM",90,89,63,26,5,0,0,17,8,13,9,1,0,69,0,1
202,8/6/2022,Chelsea,Kalidou Koulibaly,5/12/1991,CB,74,58,57,1,1,0,0,0,0,0,0,0,0,51,0,0
