"","Match_Date","Team","Player","DOB","Pos","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"33","8/6/2022","Fulham","Neeskens Kebano",1991-10-20,"RW",65,0,0,0,1,1,2,1,0,0,0,0,0,5,0,2,0
"34","8/6/2022","Fulham","Manor Solomon",1999-07-17,"LW,RW",25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,NA
"35","8/6/2022","Fulham","Andreas Pereira",1995-06-05,"AM",88,0,0,0,2,0,1,6,0,0,0,0,0,3,1,0,100
"36","8/6/2022","Fulham","Tom Cairney",1990-07-14,"AM",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"37","8/6/2022","Fulham","João Palhinha",1995-06-18,"DM",90,0,0,0,1,1,0,0,1,4,0,0,0,4,2,3,40
"38","8/6/2022","Fulham","Harrison Reed",1994-07-27,"DM",90,0,0,0,0,0,0,2,2,2,0,0,0,5,3,1,75
"39","8/6/2022","Fulham","Antonee Robinson",1996-08-16,"LB",90,0,0,0,1,0,0,3,2,1,0,0,0,10,0,0,NA
"40","8/6/2022","Fulham","Tim Ream",1986-12-13,"CB",90,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,100
"41","8/6/2022","Fulham","Tosin Adarabioyo",1996-11-18,"CB",90,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,100
"42","8/6/2022","Fulham","Kenny Tete",1994-12-19,"RB",90,1,0,0,1,1,0,3,2,5,0,0,0,4,1,3,25
"43","8/6/2022","Fulham","Marek Rodák",1996-04-27,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100
"44","8/6/2022","Liverpool","Roberto Firmino",1990-12-06,"FW",50,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,100
"45","8/6/2022","Liverpool","Darwin Núñez",1999-05-18,"FW",40,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,60
"46","8/6/2022","Liverpool","Luis Díaz",1996-06-28,"LW",77,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0
"47","8/6/2022","Liverpool","Fabio Carvalho",2001-09-28,"LW",13,0,0,0,2,0,0,0,2,0,0,0,0,0,1,1,50
"48","8/6/2022","Liverpool","Mohamed Salah",1992-05-01,"RW",90,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,NA
"49","8/6/2022","Liverpool","Thiago Alcántara",1990-12-23,"LM",50,0,0,0,0,1,0,0,1,0,0,0,0,8,2,3,40
"50","8/6/2022","Liverpool","Harvey Elliott",2002-12-06,"RM,LM",40,0,0,0,0,1,0,1,1,0,0,0,0,4,0,2,0
"51","8/6/2022","Liverpool","Fabinho",1993-01-16,"CM",58,0,0,0,0,1,0,1,1,1,0,0,0,6,0,1,0
"52","8/6/2022","Liverpool","James Milner",1985-06-13,"LM",32,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0
"53","8/6/2022","Liverpool","Jordan Henderson",1990-05-06,"RM,CM",90,0,0,0,1,0,0,1,1,0,0,0,0,8,0,0,NA
"54","8/6/2022","Liverpool","Andrew Robertson",1993-10-21,"LB",90,0,0,0,2,1,1,4,0,1,0,0,0,2,3,3,50
"55","8/6/2022","Liverpool","Virgil van Dijk",1991-06-17,"CB",90,0,0,0,1,0,0,0,0,1,0,1,0,9,3,0,100
"56","8/6/2022","Liverpool","Joël Matip",1990-08-18,"CB",90,0,0,0,0,1,0,0,2,3,0,0,0,8,0,4,0
"57","8/6/2022","Liverpool","Trent Alexander-Arnold",1997-12-14,"RB",90,0,0,0,2,0,0,9,1,2,0,0,0,6,0,2,0
"58","8/6/2022","Liverpool","Alisson",1991-12-06,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NA
"59","8/6/2022","Tottenham Hotspur","Harry Kane",1993-07-26,"FW",90,0,0,0,1,0,0,2,0,0,0,0,0,3,1,1,50
"60","8/6/2022","Tottenham Hotspur","Son Heung-min",1992-06-16,"AM",90,0,0,0,0,1,0,7,0,2,0,0,0,4,0,1,0
"61","8/6/2022","Tottenham Hotspur","Dejan Kulusevski",2000-01-18,"AM",85,0,0,0,0,0,1,3,0,0,0,0,0,8,0,0,NA
"62","8/6/2022","Tottenham Hotspur","Lucas Moura",1991-08-28,"AM",5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"63","8/6/2022","Tottenham Hotspur","Pierre Højbjerg",1995-08-11,"CM",90,0,0,0,1,2,0,0,0,2,0,0,0,6,0,1,0
"64","8/6/2022","Tottenham Hotspur","Rodrigo Bentancur",1997-05-20,"CM",85,1,0,0,2,0,0,1,1,4,0,0,0,10,0,1,0
"65","8/6/2022","Tottenham Hotspur","Yves Bissouma",1995-09-30,"CM",5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA
"66","8/6/2022","Tottenham Hotspur","Ryan Sessegnon",2000-03-04,"WB",65,1,0,0,1,0,1,4,0,2,0,0,0,2,2,0,100
"67","8/6/2022","Tottenham Hotspur","Ivan Perišić",1988-08-09,"WB",25,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,NA
"68","8/6/2022","Tottenham Hotspur","Emerson",1998-06-30,"WB",86,0,0,0,3,2,0,3,0,1,0,0,0,6,0,0,NA
"69","8/6/2022","Tottenham Hotspur","Matt Doherty",1991-07-06,"WB",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"70","8/6/2022","Tottenham Hotspur","Ben Davies",1993-01-17,"CB",85,0,0,0,1,0,0,2,0,1,0,0,0,3,4,4,50
"71","8/6/2022","Tottenham Hotspur","Clément Lenglet",1995-05-05,"CB",5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
"72","8/6/2022","Tottenham Hotspur","Eric Dier",1993-07-03,"CB",90,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,50
"73","8/6/2022","Tottenham Hotspur","Cristian Romero",1998-01-22,"CB",90,0,0,0,1,0,0,0,1,0,0,0,0,7,4,2,66.7
"74","8/6/2022","Tottenham Hotspur","Hugo Lloris",1986-05-26,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NA
"75","8/6/2022","Southampton","Adam Armstrong",1996-08-23,"FW",45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"76","8/6/2022","Southampton","Stuart Armstrong",1991-11-29,"LM,FW",45,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0
"77","8/6/2022","Southampton","Joe Aribo",1996-07-11,"FW",90,0,0,0,0,0,0,0,1,1,0,0,0,2,2,5,28.6
"78","8/6/2022","Southampton","Oriol Romeu",1990-11-20,"CM",74,0,0,0,1,2,0,1,1,0,0,0,0,8,2,0,100
"79","8/6/2022","Southampton","Ibrahima Diallo",1998-10-14,"CM",16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,NA
"80","8/6/2022","Southampton","Roméo Lavia",2003-06-13,"CM",90,0,0,0,0,4,0,0,1,1,0,0,0,13,0,0,NA
"81","8/6/2022","Southampton","James Ward-Prowse",1994-02-03,"CM,RM",90,0,0,0,0,0,0,7,1,1,0,0,0,1,0,1,0
"82","8/6/2022","Southampton","Moussa Djenepo",1998-04-30,"LB",71,0,0,0,2,2,0,0,1,0,0,0,0,8,0,0,NA
"83","8/6/2022","Southampton","Romain Perraud",1996-11-14,"LB",19,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,NA
"84","8/6/2022","Southampton","Mohammed Salisu",1999-01-02,"CB",90,0,0,0,0,0,0,3,3,1,0,0,1,7,1,0,100
"85","8/6/2022","Southampton","Jan Bednarek",1995-12-24,"CB",90,0,0,0,0,0,0,0,2,0,0,0,0,7,2,3,40
"86","8/6/2022","Southampton","Yan Valery",1998-09-16,"CB",45,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100
"87","8/6/2022","Southampton","Jack Stephens",1993-07-27,"CB",45,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,100
"88","8/6/2022","Southampton","Kyle Walker-Peters",1996-12-25,"RB",89,0,0,0,0,2,0,3,1,0,0,0,0,2,2,2,50
"89","8/6/2022","Southampton","Nathan Redmond",1993-10-11,"RB",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
"90","8/6/2022","Southampton","Gavin Bazunu",2001-09-11,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA
"91","8/6/2022","Newcastle United","Callum Wilson",1991-09-28,"FW",89,0,0,0,1,0,1,1,0,0,0,0,0,1,1,2,33.3
"92","8/6/2022","Newcastle United","Chris Wood",1991-04-17,"FW",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,NA
"93","8/6/2022","Newcastle United","Allan Saint-Maximin",1996-10-22,"LW",89,0,0,0,1,2,0,4,1,0,0,0,0,5,1,0,100
"94","8/6/2022","Newcastle United","Jacob Murphy",1994-09-21,"LW,LM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"95","8/6/2022","Newcastle United","Miguel Almirón",1993-08-24,"RW",80,0,0,0,1,1,0,1,0,2,0,0,0,5,0,1,0
"96","8/6/2022","Newcastle United","Ryan Fraser",1993-09-21,"RW,RM",10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"97","8/6/2022","Newcastle United","Joelinton",1995-08-29,"LM",90,0,0,0,2,3,0,2,2,1,0,0,0,5,1,3,25
"98","8/6/2022","Newcastle United","Bruno Guimarães",1997-03-04,"CM",89,0,0,0,0,4,0,1,1,2,0,0,0,10,0,0,NA
"99","8/6/2022","Newcastle United","Sven Botman",1999-06-26,"CB,CM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"100","8/6/2022","Newcastle United","Joe Willock",1998-09-09,"RM",79,0,0,0,1,1,0,1,0,2,0,0,0,7,0,2,0
"101","8/6/2022","Newcastle United","Sean Longstaff",1997-01-29,"RM,CM",11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"102","8/6/2022","Newcastle United","Matt Targett",1994-11-07,"LB",90,0,0,0,2,1,0,4,0,3,0,0,0,10,1,0,100
"103","8/6/2022","Newcastle United","Dan Burn",1992-02-17,"CB",90,0,0,0,0,0,1,0,0,1,0,0,0,6,2,1,66.7
"104","8/6/2022","Newcastle United","Fabian Schär",1991-05-13,"CB",90,0,0,0,0,2,0,1,3,0,0,0,0,8,4,3,57.1
"105","8/6/2022","Newcastle United","Kieran Trippier",1989-11-10,"RB",90,0,0,0,0,0,0,10,4,1,0,0,0,15,2,4,33.3
"106","8/6/2022","Newcastle United","Nick Pope",1992-01-08,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"107","8/6/2022","Nottingham Forest","Sam Surridge",1998-07-25,"FW",62,0,0,0,2,1,0,1,0,0,0,0,0,1,3,2,60
"108","8/6/2022","Nottingham Forest","Taiwo Awoniyi",1996-08-24,"AM,FW",28,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0
"109","8/6/2022","Nottingham Forest","Brennan Johnson",2001-03-14,"FW,LW",90,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50
"110","8/6/2022","Nottingham Forest","Jesse Lingard",1992-05-02,"AM",90,0,0,0,2,0,0,1,2,0,0,0,0,5,0,0,NA
"111","8/6/2022","Nottingham Forest","Jack Colback",1989-01-19,"CM,DM",90,0,0,0,1,1,0,0,1,4,0,0,0,4,1,0,100
"112","8/6/2022","Nottingham Forest","Lewis O'Brien",1997-12-28,"CM",74,1,0,0,1,2,0,0,1,2,0,0,0,13,1,1,50
"113","8/6/2022","Nottingham Forest","Orel Mangala",1997-11-03,"DM,CM",16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"114","8/6/2022","Nottingham Forest","Harry Toffolo",1994-09-08,"WB,LB",90,0,0,0,0,1,0,4,1,0,0,0,0,7,2,2,50
"115","8/6/2022","Nottingham Forest","Neco Williams",2000-12-24,"WB,RB",90,1,0,0,2,1,0,2,3,1,0,0,0,6,0,0,NA
"116","8/6/2022","Nottingham Forest","Scott McKenna",1996-02-25,"CB",90,0,0,0,1,1,0,0,1,0,0,0,0,5,3,2,60
"117","8/6/2022","Nottingham Forest","Moussa Niakhate",1995-10-15,"CB",82,0,0,0,1,0,0,0,1,0,0,0,0,5,4,2,66.7
"118","8/6/2022","Nottingham Forest","Alexander Mighten",2001-12-20,"RW",8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
"119","8/6/2022","Nottingham Forest","Joe Worrall",1996-06-22,"CB",90,1,0,0,2,1,0,0,0,2,0,0,0,2,1,1,50
"120","8/6/2022","Nottingham Forest","Dean Henderson",1996-10-22,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"121","8/6/2022","Leeds United","Patrick Bamford",1992-10-12,"FW",83,0,0,0,3,0,0,0,0,0,0,0,0,5,2,0,100
"122","8/6/2022","Leeds United","Joe Gelhardt",2002-02-04,"FW",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"123","8/6/2022","Leeds United","Jack Harrison",1996-03-12,"LW",90,1,0,0,2,4,0,7,1,1,0,0,0,9,0,1,0
"124","8/6/2022","Leeds United","Brenden Aaronson",2000-01-13,"RW",83,0,0,0,1,2,0,5,0,1,0,0,0,3,0,0,NA
"125","8/6/2022","Leeds United","Crysencio Summerville",2001-01-28,"RW",7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,NA
"126","8/6/2022","Leeds United","Rodrigo",1990-10-12,"AM",64,0,0,0,0,0,0,2,2,0,0,0,0,2,0,1,0
"127","8/6/2022","Leeds United","Mateusz Klich",1990-04-28,"AM",26,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,100
"128","8/6/2022","Leeds United","Tyler Adams",1998-08-31,"DM",90,1,0,0,2,0,0,0,1,2,0,0,0,8,0,0,NA
"129","8/6/2022","Leeds United","Marc Roca",1996-03-24,"DM",72,0,0,0,1,1,0,1,2,1,0,0,0,6,0,0,NA
"130","8/6/2022","Leeds United","Sam Greenwood",2001-07-23,"DM",18,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,NA
"131","8/6/2022","Leeds United","Pascal Struijk",1998-08-22,"LB",90,0,0,0,0,1,0,0,3,3,0,0,0,7,3,3,50
"132","8/6/2022","Leeds United","Diego Llorente",1992-09-02,"CB",90,0,0,0,1,0,0,1,2,1,0,0,0,7,2,0,100
"133","8/6/2022","Leeds United","Robin Koch",1996-07-03,"CB",90,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,NA
"134","8/6/2022","Leeds United","Rasmus Nissen",1997-06-21,"RB",90,0,0,0,0,0,0,1,2,1,0,0,0,5,1,0,100
"135","8/6/2022","Leeds United","Illan Meslier",1999-10-02,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA
"136","8/6/2022","Wolverhampton Wanderers","Hwang Hee-chan",1995-07-25,"FW",84,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0
"137","8/6/2022","Wolverhampton Wanderers","Chem Campbell",2002-05-30,"FW",6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
"138","8/6/2022","Wolverhampton Wanderers","Pedro Neto",1999-10-16,"LW",90,0,0,0,1,2,1,8,2,1,0,0,0,5,0,0,NA
"139","8/6/2022","Wolverhampton Wanderers","Daniel Podence",1995-01-12,"RW",90,0,0,0,2,1,0,1,0,1,0,0,0,7,0,0,NA
"140","8/6/2022","Wolverhampton Wanderers","Morgan Gibbs-White",1999-07-26,"AM",90,0,0,0,3,0,0,5,1,0,0,0,0,4,1,2,33.3
"141","8/6/2022","Wolverhampton Wanderers","Rúben Neves",1996-10-24,"DM",90,0,0,0,0,0,0,0,1,3,0,0,0,9,1,0,100
"142","8/6/2022","Wolverhampton Wanderers","Leander Dendoncker",1994-12-30,"DM",90,0,0,0,0,0,0,1,5,2,0,0,0,9,2,1,66.7
"143","8/6/2022","Wolverhampton Wanderers","Rayan Aït Nouri",2001-04-11,"LB",90,0,0,0,2,2,0,2,0,2,0,0,1,6,0,0,NA
"144","8/6/2022","Wolverhampton Wanderers","Max Kilman",1997-03-15,"CB",90,0,0,0,0,2,0,0,0,0,0,0,0,9,2,1,66.7
"145","8/6/2022","Wolverhampton Wanderers","Nathan Collins",2001-01-27,"CB",90,0,0,0,0,1,0,0,2,0,0,0,0,5,1,1,50
"146","8/6/2022","Wolverhampton Wanderers","Jonny Castro",1993-10-05,"RB",90,0,0,0,1,3,0,2,3,2,0,0,0,7,0,0,NA
"147","8/6/2022","Wolverhampton Wanderers","José Sá",1992-07-07,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"148","8/6/2022","Bournemouth","Kieffer Moore",1991-08-18,"FW",90,0,0,0,3,4,0,1,0,1,0,0,0,2,2,5,28.6
"149","8/6/2022","Bournemouth","Dominic Solanke",1996-10-29,"AM",89,0,0,0,4,2,0,0,0,1,0,0,0,3,1,1,50
"150","8/6/2022","Bournemouth","Junior Stanislas",1989-03-26,"FW",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"151","8/6/2022","Bournemouth","Marcus Tavernier",1998-11-11,"AM",85,0,0,0,1,5,1,8,0,1,0,0,0,10,2,4,33.3
"152","8/6/2022","Bournemouth","Ryan Christie",1994-09-17,"AM",5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"153","8/6/2022","Bournemouth","Philip Billing",1996-04-22,"CM",90,1,0,0,2,0,0,0,5,2,0,0,0,8,1,1,50
"154","8/6/2022","Bournemouth","Ben Pearson",1994-06-11,"CM",71,1,0,0,3,2,0,0,1,1,0,0,0,7,1,1,50
"155","8/6/2022","Bournemouth","Lewis Cook",1996-08-09,"CM",19,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,NA
"156","8/6/2022","Bournemouth","Jordan Zemura",1999-02-28,"WB",90,0,0,0,2,0,0,0,0,2,0,0,0,6,1,1,50
"157","8/6/2022","Bournemouth","Adam Smith",1991-01-28,"WB",90,1,0,0,1,1,0,1,2,0,0,0,0,5,0,0,NA
"158","8/6/2022","Bournemouth","Lloyd Kelly",1997-12-12,"CB",90,0,0,0,0,0,0,1,1,2,0,0,0,2,2,0,100
"159","8/6/2022","Bournemouth","Chris Mepham",1997-02-10,"CB",90,0,0,0,0,1,0,0,1,1,0,0,0,2,5,2,71.4
"160","8/6/2022","Bournemouth","Jefferson Lerma",1994-01-20,"CB",90,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,NA
"161","8/6/2022","Bournemouth","Mark Travers",1999-03-05,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
"162","8/6/2022","Aston Villa","Danny Ings",1992-07-16,"FW",65,1,0,0,1,0,1,1,0,0,0,0,0,1,1,2,33.3
"163","8/6/2022","Aston Villa","Ollie Watkins",1995-06-01,"FW",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"164","8/6/2022","Aston Villa","Philippe Coutinho",1992-04-25,"LW,AM",80,0,0,0,1,0,1,3,1,0,0,0,0,5,2,0,100
"165","8/6/2022","Aston Villa","Cameron Archer",2001-07-10,"AM",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"166","8/6/2022","Aston Villa","Leon Bailey",1996-08-18,"RW",90,0,0,0,0,1,1,9,0,1,0,0,0,3,1,4,20
"167","8/6/2022","Aston Villa","Jacob Ramsey",2001-03-24,"LM",45,1,0,0,3,2,0,0,0,3,0,0,0,7,0,1,0
"168","8/6/2022","Aston Villa","Emi Buendía",1996-05-21,"LW",45,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,NA
"169","8/6/2022","Aston Villa","Boubacar Kamara",1999-03-18,"CM,DM",81,0,0,0,5,2,0,0,0,1,0,0,0,10,3,1,75
"170","8/6/2022","Aston Villa","Douglas Luiz",1998-02-15,"DM",9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"171","8/6/2022","Aston Villa","John McGinn",1994-01-06,"DM,RM",90,0,0,0,0,3,0,3,1,2,0,0,0,8,1,0,100
"172","8/6/2022","Aston Villa","Lucas Digne",1993-07-10,"LB",90,0,0,0,2,2,1,8,3,0,0,0,0,5,4,1,80
"173","8/6/2022","Aston Villa","Diego Carlos",1992-10-29,"CB",90,0,0,0,1,0,0,1,0,0,0,0,0,8,0,3,0
"174","8/6/2022","Aston Villa","Ezri Konsa",1997-01-15,"CB",90,0,0,0,1,3,0,0,2,1,0,0,0,7,2,3,40
"175","8/6/2022","Aston Villa","Matty Cash",1996-08-14,"RB",90,0,0,0,1,3,0,6,1,0,0,0,0,5,0,1,0
"176","8/6/2022","Aston Villa","Emiliano Martínez",1991-10-07,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100
"177","8/6/2022","Everton","Anthony Gordon",2000-09-19,"FW",90,0,0,0,2,1,0,2,0,2,0,0,0,3,2,5,28.6
"178","8/6/2022","Everton","Demarai Gray",1996-05-26,"LM,RM",90,0,0,0,0,1,0,5,0,1,0,0,0,6,3,0,100
"179","8/6/2022","Everton","Alex Iwobi",1996-02-04,"CM",90,0,0,0,1,0,0,0,2,0,0,0,0,7,0,0,NA
"180","8/6/2022","Everton","Abdoulaye Doucouré",1992-06-05,"CM",90,0,0,0,1,0,0,0,0,4,0,1,0,9,1,2,33.3
"181","8/6/2022","Everton","Dwight McNeil",1999-03-16,"RM",60,0,0,0,0,1,0,3,0,4,0,0,0,5,0,2,0
"182","8/6/2022","Everton","Dele Alli",1995-12-22,"LM",30,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,33.3
"183","8/6/2022","Everton","Vitaliy Mykolenko",1999-03-27,"LB,CB",90,1,0,0,4,0,0,2,2,0,0,0,0,3,1,1,50
"184","8/6/2022","Everton","James Tarkowski",1992-03-11,"CB",90,0,0,0,3,0,0,0,2,0,0,0,0,9,2,3,40
"185","8/6/2022","Everton","Yerry Mina",1993-11-17,"CB",69,1,0,0,1,2,0,0,1,0,0,0,0,3,0,2,0
"186","8/6/2022","Everton","Rúben Vinagre",1998-12-17,"LB",21,0,0,0,0,2,0,1,0,1,0,0,0,3,0,1,0
"187","8/6/2022","Everton","Ben Godfrey",1997-07-02,"CB",17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"188","8/6/2022","Everton","Mason Holgate",1996-01-14,"CB",73,1,0,0,1,1,0,1,1,2,0,0,0,3,2,3,40
"189","8/6/2022","Everton","Nathan Patterson",2000-12-31,"RB",90,0,0,0,1,2,0,1,0,2,0,0,0,4,0,0,NA
"190","8/6/2022","Everton","Jordan Pickford",1993-10-13,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NA
"191","8/6/2022","Chelsea","Raheem Sterling",1994-04-18,"FW,LW",90,0,0,0,3,3,1,0,0,1,0,0,0,3,0,0,NA
