,Match_Date,Team,Player,DOB,Pos,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving
21,8/5/2022,Arsenal,Thomas Partey,1993-04-28,CM,90,62,4,24,31,8,1,62,0,0,NA,3,1,38,0
22,8/5/2022,Arsenal,Martin Ødegaard,1998-05-06,RM,89,52,3,14,18,21,3,52,0,1,0,0,0,27,3
23,8/5/2022,Arsenal,Albert Sambi Lokonga,1999-01-14,"CM,RW",1,1,0,0,1,0,0,1,0,0,NA,0,0,1,1
24,8/5/2022,Arsenal,Oleksandr Zinchenko,1996-05-02,LB,82,67,4,14,36,17,3,67,0,0,NA,1,2,42,3
25,8/5/2022,Arsenal,Kieran Tierney,1997-04-11,LB,8,7,1,5,2,0,0,7,0,0,NA,0,0,2,0
26,8/5/2022,Arsenal,Gabriel Dos Santos,1997-05-10,CB,90,67,14,39,27,2,1,67,0,0,NA,0,0,52,1
27,8/5/2022,Arsenal,William Saliba,2000-11-15,CB,90,59,10,34,24,1,0,59,1,1,100,1,1,37,0
28,8/5/2022,Arsenal,Ben White,1996-12-17,RB,90,63,7,28,26,9,0,63,1,2,50,4,1,24,0
29,8/5/2022,Arsenal,Aaron Ramsdale,1998-02-26,GK,90,33,25,33,0,0,0,33,0,0,NA,0,0,15,0
30,8/6/2022,Fulham,Aleksandar Mitrović,1993-11-03,FW,90,46,4,11,18,18,4,45,2,2,100,4,1,32,4
31,8/6/2022,Fulham,Bobby Reid,1992-08-08,"LW,RW",89,37,1,6,13,20,1,37,1,1,100,2,2,27,6
32,8/6/2022,Fulham,Shane Duffy,1991-06-06,RW,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
33,8/6/2022,Fulham,Neeskens Kebano,1991-10-20,RW,65,23,0,2,6,15,4,23,1,2,50,1,1,16,1
34,8/6/2022,Fulham,Manor Solomon,1999-07-17,"LW,RW",25,10,1,6,2,2,0,10,0,2,0,3,1,4,0
35,8/6/2022,Fulham,Andreas Pereira,1995-06-05,AM,88,37,0,4,12,22,2,37,0,1,0,3,0,24,4
36,8/6/2022,Fulham,Tom Cairney,1990-07-14,AM,2,4,0,1,1,2,0,4,0,0,NA,1,0,1,0
37,8/6/2022,Fulham,João Palhinha,1995-06-18,DM,90,41,1,5,30,6,3,41,0,1,0,1,1,9,1
38,8/6/2022,Fulham,Harrison Reed,1994-07-27,DM,90,49,5,12,25,12,2,49,0,1,0,5,0,22,2
39,8/6/2022,Fulham,Antonee Robinson,1996-08-16,LB,90,54,6,26,21,7,0,54,0,0,NA,0,0,17,1
40,8/6/2022,Fulham,Tim Ream,1986-12-13,CB,90,41,10,21,17,3,1,41,1,1,100,1,0,13,0
41,8/6/2022,Fulham,Tosin Adarabioyo,1996-11-18,CB,90,37,10,19,17,1,0,37,0,0,NA,0,0,12,1
42,8/6/2022,Fulham,Kenny Tete,1994-12-19,RB,90,57,4,13,29,15,0,57,0,0,NA,0,0,15,0
43,8/6/2022,Fulham,Marek Rodák,1996-04-27,GK,90,33,29,33,0,0,0,33,0,0,NA,0,0,8,0
44,8/6/2022,Liverpool,Roberto Firmino,1990-12-06,FW,50,33,1,5,17,12,3,33,0,0,NA,2,2,22,1
45,8/6/2022,Liverpool,Darwin Núñez,1999-05-18,FW,40,13,0,0,3,10,8,13,0,1,0,1,1,8,3
46,8/6/2022,Liverpool,Luis Díaz,1996-06-28,LW,77,30,1,2,14,14,3,30,1,2,50,1,4,27,6
47,8/6/2022,Liverpool,Fabio Carvalho,2001-09-28,LW,13,5,0,2,1,2,1,5,0,0,NA,0,0,1,0
48,8/6/2022,Liverpool,Mohamed Salah,1992-05-01,RW,90,45,0,1,14,31,4,45,2,6,33.3,3,0,36,7
49,8/6/2022,Liverpool,Thiago Alcántara,1990-12-23,LM,50,60,1,8,48,4,0,60,0,1,0,1,1,42,0
50,8/6/2022,Liverpool,Harvey Elliott,2002-12-06,"RM,LM",40,25,0,1,13,11,2,25,0,1,0,1,1,18,4
51,8/6/2022,Liverpool,Fabinho,1993-01-16,CM,58,42,1,9,27,6,1,42,0,0,NA,1,0,29,1
52,8/6/2022,Liverpool,James Milner,1985-06-13,LM,32,22,0,8,6,8,3,22,0,0,NA,0,3,15,4
53,8/6/2022,Liverpool,Jordan Henderson,1990-05-06,"RM,CM",90,73,1,14,47,13,2,73,0,0,NA,2,0,46,2
54,8/6/2022,Liverpool,Andrew Robertson,1993-10-21,LB,90,89,2,36,30,23,4,89,0,3,0,2,0,49,7
55,8/6/2022,Liverpool,Virgil van Dijk,1991-06-17,CB,90,106,19,64,39,3,1,106,0,0,NA,0,0,66,0
56,8/6/2022,Liverpool,Joël Matip,1990-08-18,CB,90,106,12,52,52,3,0,106,1,3,33.3,0,1,75,0
57,8/6/2022,Liverpool,Trent Alexander-Arnold,1997-12-14,RB,90,92,3,22,36,34,1,92,0,0,NA,1,0,53,3
58,8/6/2022,Liverpool,Alisson,1991-12-06,GK,90,36,28,36,0,0,0,36,0,0,NA,0,0,21,0
59,8/6/2022,Tottenham Hotspur,Harry Kane,1993-07-26,FW,90,37,2,5,22,11,3,37,0,1,0,0,4,28,5
60,8/6/2022,Tottenham Hotspur,Son Heung-min,1992-06-16,AM,90,51,0,6,11,35,4,51,0,1,0,3,0,35,13
61,8/6/2022,Tottenham Hotspur,Dejan Kulusevski,2000-01-18,AM,85,56,1,8,16,32,8,56,1,4,25,4,0,39,8
62,8/6/2022,Tottenham Hotspur,Lucas Moura,1991-08-28,AM,5,3,0,0,2,1,0,3,0,0,NA,0,0,2,0
63,8/6/2022,Tottenham Hotspur,Pierre Højbjerg,1995-08-11,CM,90,80,2,18,55,8,0,80,1,1,100,3,1,63,1
64,8/6/2022,Tottenham Hotspur,Rodrigo Bentancur,1997-05-20,CM,85,71,4,18,41,13,0,71,2,2,100,0,0,51,2
65,8/6/2022,Tottenham Hotspur,Yves Bissouma,1995-09-30,CM,5,8,1,4,3,1,0,8,0,0,NA,0,1,4,0
66,8/6/2022,Tottenham Hotspur,Ryan Sessegnon,2000-03-04,WB,65,58,5,18,19,21,2,58,0,0,NA,1,1,28,5
67,8/6/2022,Tottenham Hotspur,Ivan Perišić,1988-08-09,WB,25,12,2,2,5,5,2,12,0,0,NA,0,1,6,1
68,8/6/2022,Tottenham Hotspur,Emerson,1998-06-30,WB,86,69,2,17,31,23,6,69,2,3,66.7,3,0,47,3
69,8/6/2022,Tottenham Hotspur,Matt Doherty,1991-07-06,WB,4,4,2,3,1,0,0,4,0,0,NA,0,0,2,0
70,8/6/2022,Tottenham Hotspur,Ben Davies,1993-01-17,CB,85,78,4,28,40,10,1,78,0,0,NA,0,1,66,3
71,8/6/2022,Tottenham Hotspur,Clément Lenglet,1995-05-05,CB,5,9,2,4,5,0,0,9,0,0,NA,1,0,6,0
72,8/6/2022,Tottenham Hotspur,Eric Dier,1993-07-03,CB,90,67,8,33,34,1,1,67,0,0,NA,0,0,53,0
73,8/6/2022,Tottenham Hotspur,Cristian Romero,1998-01-22,CB,90,80,5,32,38,10,3,80,1,1,100,0,0,60,1
74,8/6/2022,Tottenham Hotspur,Hugo Lloris,1986-05-26,GK,90,21,18,21,0,0,0,21,0,0,NA,0,0,10,0
75,8/6/2022,Southampton,Adam Armstrong,1996-08-23,FW,45,13,0,0,8,5,0,13,0,0,NA,1,1,9,1
76,8/6/2022,Southampton,Stuart Armstrong,1991-11-29,"LM,FW",45,18,0,4,4,11,0,18,0,0,NA,1,3,14,2
77,8/6/2022,Southampton,Joe Aribo,1996-07-11,FW,90,32,1,3,15,14,4,32,1,3,33.3,3,3,22,5
78,8/6/2022,Southampton,Oriol Romeu,1990-11-20,CM,74,37,2,5,19,14,1,37,1,1,100,1,0,20,0
79,8/6/2022,Southampton,Ibrahima Diallo,1998-10-14,CM,16,15,0,0,4,11,1,15,0,1,0,2,1,9,1
80,8/6/2022,Southampton,Roméo Lavia,2003-06-13,CM,90,61,2,14,38,11,0,61,1,1,100,0,1,42,1
81,8/6/2022,Southampton,James Ward-Prowse,1994-02-03,"CM,RM",90,51,1,5,14,32,4,51,0,0,NA,0,0,37,3
82,8/6/2022,Southampton,Moussa Djenepo,1998-04-30,LB,71,32,4,11,12,12,3,32,2,4,50,1,0,18,3
83,8/6/2022,Southampton,Romain Perraud,1996-11-14,LB,19,12,0,0,0,12,3,12,0,1,0,0,0,9,0
84,8/6/2022,Southampton,Mohammed Salisu,1999-01-02,CB,90,73,9,28,32,14,2,73,2,4,50,0,3,40,2
85,8/6/2022,Southampton,Jan Bednarek,1995-12-24,CB,90,60,10,27,30,3,2,60,0,0,NA,0,0,35,1
86,8/6/2022,Southampton,Yan Valery,1998-09-16,CB,45,28,3,7,18,3,0,28,0,0,NA,1,3,20,0
87,8/6/2022,Southampton,Jack Stephens,1993-07-27,CB,45,31,4,7,16,8,0,31,0,0,NA,0,1,25,0
88,8/6/2022,Southampton,Kyle Walker-Peters,1996-12-25,RB,89,46,6,12,14,21,2,46,2,3,66.7,2,1,28,3
89,8/6/2022,Southampton,Nathan Redmond,1993-10-11,RB,1,1,0,0,0,1,0,1,0,0,NA,0,0,1,0
90,8/6/2022,Southampton,Gavin Bazunu,2001-09-11,GK,90,39,26,39,0,0,0,39,0,0,NA,0,0,18,0
91,8/6/2022,Newcastle United,Callum Wilson,1991-09-28,FW,89,16,0,0,3,13,6,16,0,0,NA,2,0,14,2
92,8/6/2022,Newcastle United,Chris Wood,1991-04-17,FW,1,3,1,3,0,0,0,3,0,0,NA,0,0,0,0
93,8/6/2022,Newcastle United,Allan Saint-Maximin,1996-10-22,LW,89,60,0,1,14,46,11,60,2,3,66.7,1,2,48,8
94,8/6/2022,Newcastle United,Jacob Murphy,1994-09-21,"LW,LM",1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
95,8/6/2022,Newcastle United,Miguel Almirón,1993-08-24,RW,80,50,0,2,13,35,11,50,1,3,33.3,2,0,36,16
96,8/6/2022,Newcastle United,Ryan Fraser,1993-09-21,"RW,RM",10,5,0,0,3,2,0,5,0,0,NA,0,0,4,0
97,8/6/2022,Newcastle United,Joelinton,1995-08-29,LM,90,65,1,3,30,32,5,65,4,5,80,1,1,48,6
98,8/6/2022,Newcastle United,Bruno Guimarães,1997-03-04,CM,89,85,2,7,52,27,1,85,5,8,62.5,1,3,64,2
99,8/6/2022,Newcastle United,Sven Botman,1999-06-26,"CB,CM",1,3,3,3,0,0,0,3,0,0,NA,0,0,3,0
100,8/6/2022,Newcastle United,Joe Willock,1998-09-09,RM,79,45,0,0,18,29,7,45,0,3,0,5,2,31,6
101,8/6/2022,Newcastle United,Sean Longstaff,1997-01-29,"RM,CM",11,6,0,1,3,2,1,6,0,0,NA,0,0,5,1
102,8/6/2022,Newcastle United,Matt Targett,1994-11-07,LB,90,60,0,14,28,19,0,60,0,0,NA,0,0,38,0
103,8/6/2022,Newcastle United,Dan Burn,1992-02-17,CB,90,46,7,28,12,6,6,46,0,0,NA,0,0,22,1
104,8/6/2022,Newcastle United,Fabian Schär,1991-05-13,CB,90,68,6,37,27,6,1,68,0,0,NA,2,0,31,1
105,8/6/2022,Newcastle United,Kieran Trippier,1989-11-10,RB,90,99,3,17,41,41,1,99,0,0,NA,2,0,54,2
106,8/6/2022,Newcastle United,Nick Pope,1992-01-08,GK,90,22,17,22,0,0,0,22,0,0,NA,0,0,9,0
107,8/6/2022,Nottingham Forest,Sam Surridge,1998-07-25,FW,62,23,4,10,7,8,2,23,1,3,33.3,0,0,15,3
108,8/6/2022,Nottingham Forest,Taiwo Awoniyi,1996-08-24,"AM,FW",28,7,0,0,6,1,0,7,0,0,NA,2,0,4,0
109,8/6/2022,Nottingham Forest,Brennan Johnson,2001-03-14,"FW,LW",90,20,0,2,9,9,3,20,0,1,0,2,1,16,1
110,8/6/2022,Nottingham Forest,Jesse Lingard,1992-05-02,AM,90,37,0,3,28,7,1,37,0,1,0,4,2,25,7
111,8/6/2022,Nottingham Forest,Jack Colback,1989-01-19,"CM,DM",90,34,3,15,16,3,0,34,0,0,NA,2,1,18,0
112,8/6/2022,Nottingham Forest,Lewis O'Brien,1997-12-28,CM,74,44,7,20,21,4,0,44,1,2,50,2,1,16,0
113,8/6/2022,Nottingham Forest,Orel Mangala,1997-11-03,"DM,CM",16,9,0,2,7,0,0,9,0,0,NA,0,0,6,0
114,8/6/2022,Nottingham Forest,Harry Toffolo,1994-09-08,"WB,LB",90,61,8,33,15,15,0,61,1,1,100,1,0,32,0
115,8/6/2022,Nottingham Forest,Neco Williams,2000-12-24,"WB,RB",90,55,9,24,25,7,1,55,1,1,100,0,1,21,1
116,8/6/2022,Nottingham Forest,Scott McKenna,1996-02-25,CB,90,40,12,26,13,1,1,40,1,2,50,1,1,23,0
117,8/6/2022,Nottingham Forest,Moussa Niakhate,1995-10-15,CB,82,42,13,33,9,0,0,42,0,3,0,0,1,14,0
118,8/6/2022,Nottingham Forest,Alexander Mighten,2001-12-20,RW,8,4,0,1,0,3,0,4,0,3,0,0,0,4,0
119,8/6/2022,Nottingham Forest,Joe Worrall,1996-06-22,CB,90,46,9,31,14,1,0,46,0,0,NA,1,0,32,0
120,8/6/2022,Nottingham Forest,Dean Henderson,1996-10-22,GK,90,48,39,48,0,0,0,48,0,0,NA,0,0,15,0
121,8/6/2022,Leeds United,Patrick Bamford,1992-10-12,FW,83,25,2,2,11,12,6,25,1,2,50,5,0,14,5
122,8/6/2022,Leeds United,Joe Gelhardt,2002-02-04,FW,7,2,1,1,1,0,0,2,0,0,NA,0,0,1,1
123,8/6/2022,Leeds United,Jack Harrison,1996-03-12,LW,90,41,0,3,15,24,3,41,2,4,50,2,4,30,2
124,8/6/2022,Leeds United,Brenden Aaronson,2000-01-13,RW,83,35,0,3,12,20,3,35,0,0,NA,1,2,25,4
125,8/6/2022,Leeds United,Crysencio Summerville,2001-01-28,RW,7,2,0,0,1,2,1,2,0,0,NA,0,0,1,1
126,8/6/2022,Leeds United,Rodrigo,1990-10-12,AM,64,31,0,1,18,12,2,31,0,0,NA,2,1,22,3
127,8/6/2022,Leeds United,Mateusz Klich,1990-04-28,AM,26,13,1,2,4,8,2,13,0,0,NA,0,1,10,4
128,8/6/2022,Leeds United,Tyler Adams,1998-08-31,DM,90,49,2,13,28,8,0,49,0,0,NA,1,1,23,2
129,8/6/2022,Leeds United,Marc Roca,1996-03-24,DM,72,42,1,11,23,8,1,42,1,1,100,0,1,27,0
130,8/6/2022,Leeds United,Sam Greenwood,2001-07-23,DM,18,12,0,1,6,6,2,12,0,0,NA,0,0,6,1
131,8/6/2022,Leeds United,Pascal Struijk,1998-08-22,LB,90,70,1,19,36,16,1,70,1,4,25,1,0,34,0
132,8/6/2022,Leeds United,Diego Llorente,1992-09-02,CB,90,57,10,33,21,3,1,57,2,2,100,1,0,30,0
133,8/6/2022,Leeds United,Robin Koch,1996-07-03,CB,90,52,13,30,21,1,1,52,0,0,NA,0,0,31,0
134,8/6/2022,Leeds United,Rasmus Nissen,1997-06-21,RB,90,50,4,16,24,10,2,50,0,1,0,0,0,27,3
135,8/6/2022,Leeds United,Illan Meslier,1999-10-02,GK,90,31,30,31,0,0,0,31,0,0,NA,0,0,10,0
136,8/6/2022,Wolverhampton Wanderers,Hwang Hee-chan,1995-07-25,FW,84,28,0,5,9,15,6,28,3,5,60,2,1,20,4
137,8/6/2022,Wolverhampton Wanderers,Chem Campbell,2002-05-30,FW,6,0,0,0,0,0,0,0,0,0,NA,0,1,2,1
138,8/6/2022,Wolverhampton Wanderers,Pedro Neto,1999-10-16,LW,90,58,0,10,16,34,7,58,5,12,41.7,2,0,42,7
139,8/6/2022,Wolverhampton Wanderers,Daniel Podence,1995-01-12,RW,90,56,0,4,23,30,2,56,0,0,NA,4,1,41,5
140,8/6/2022,Wolverhampton Wanderers,Morgan Gibbs-White,1999-07-26,AM,90,61,0,9,22,31,2,61,2,5,40,1,0,47,5
141,8/6/2022,Wolverhampton Wanderers,Rúben Neves,1996-10-24,DM,90,74,8,24,38,12,0,74,2,3,66.7,1,0,51,0
142,8/6/2022,Wolverhampton Wanderers,Leander Dendoncker,1994-12-30,DM,90,61,3,17,31,14,3,61,1,1,100,1,0,39,0
143,8/6/2022,Wolverhampton Wanderers,Rayan Aït Nouri,2001-04-11,LB,90,87,7,34,38,17,3,87,5,6,83.3,3,3,60,5
144,8/6/2022,Wolverhampton Wanderers,Max Kilman,1997-03-15,CB,90,98,19,69,28,2,2,98,4,4,100,0,0,72,0
145,8/6/2022,Wolverhampton Wanderers,Nathan Collins,2001-01-27,CB,90,80,9,50,28,2,1,80,1,1,100,1,0,60,0
146,8/6/2022,Wolverhampton Wanderers,Jonny Castro,1993-10-05,RB,90,77,3,33,27,19,0,77,2,4,50,2,1,47,2
147,8/6/2022,Wolverhampton Wanderers,José Sá,1992-07-07,GK,90,40,37,39,1,0,0,40,0,0,NA,1,0,20,0
148,8/6/2022,Bournemouth,Kieffer Moore,1991-08-18,FW,90,33,0,0,15,18,1,33,0,2,0,2,2,33,2
149,8/6/2022,Bournemouth,Dominic Solanke,1996-10-29,AM,89,22,2,10,6,7,2,22,1,3,33.3,3,2,14,2
150,8/6/2022,Bournemouth,Junior Stanislas,1989-03-26,FW,1,1,0,0,0,1,0,1,0,0,NA,1,0,1,0
151,8/6/2022,Bournemouth,Marcus Tavernier,1998-11-11,AM,85,43,1,11,16,20,1,43,6,9,66.7,2,1,21,4
152,8/6/2022,Bournemouth,Ryan Christie,1994-09-17,AM,5,4,0,2,0,2,0,4,0,1,0,1,0,2,0
153,8/6/2022,Bournemouth,Philip Billing,1996-04-22,CM,90,45,3,22,19,5,1,45,0,0,NA,0,0,18,0
154,8/6/2022,Bournemouth,Ben Pearson,1994-06-11,CM,71,41,4,13,24,4,0,41,0,1,0,1,0,19,2
155,8/6/2022,Bournemouth,Lewis Cook,1996-08-09,CM,19,13,2,8,4,1,0,13,0,0,NA,0,0,6,0
156,8/6/2022,Bournemouth,Jordan Zemura,1999-02-28,WB,90,40,4,15,19,6,1,40,2,2,100,2,0,16,0
157,8/6/2022,Bournemouth,Adam Smith,1991-01-28,WB,90,42,2,13,19,11,1,42,0,1,0,1,0,21,1
158,8/6/2022,Bournemouth,Lloyd Kelly,1997-12-12,CB,90,45,10,35,6,4,1,45,1,1,100,1,0,19,0
159,8/6/2022,Bournemouth,Chris Mepham,1997-02-10,CB,90,67,30,52,15,0,0,67,0,0,NA,1,0,35,0
160,8/6/2022,Bournemouth,Jefferson Lerma,1994-01-20,CB,90,34,3,14,20,1,1,34,0,0,NA,0,0,16,0
161,8/6/2022,Bournemouth,Mark Travers,1999-03-05,GK,90,33,33,33,0,0,0,33,0,0,NA,0,0,8,0
162,8/6/2022,Aston Villa,Danny Ings,1992-07-16,FW,65,24,1,2,8,14,5,24,3,3,100,0,3,17,3
163,8/6/2022,Aston Villa,Ollie Watkins,1995-06-01,FW,25,6,0,0,2,4,1,6,0,0,NA,1,1,5,1
164,8/6/2022,Aston Villa,Philippe Coutinho,1992-04-25,"LW,AM",80,58,0,1,26,31,2,58,2,4,50,3,0,45,6
165,8/6/2022,Aston Villa,Cameron Archer,2001-07-10,AM,10,2,0,0,0,2,1,2,0,0,NA,0,0,2,1
166,8/6/2022,Aston Villa,Leon Bailey,1996-08-18,RW,90,49,0,2,13,35,3,49,2,6,33.3,2,2,35,9
167,8/6/2022,Aston Villa,Jacob Ramsey,2001-03-24,LM,45,39,2,7,25,7,0,39,1,1,100,0,2,27,3
168,8/6/2022,Aston Villa,Emi Buendía,1996-05-21,LW,45,31,0,0,11,20,1,31,0,1,0,1,2,33,4
169,8/6/2022,Aston Villa,Boubacar Kamara,1999-03-18,"CM,DM",81,80,2,22,48,11,2,80,1,2,50,1,1,55,2
170,8/6/2022,Aston Villa,Douglas Luiz,1998-02-15,DM,9,17,0,1,7,9,0,17,0,0,NA,0,0,13,1
171,8/6/2022,Aston Villa,John McGinn,1994-01-06,"DM,RM",90,68,0,9,38,21,0,68,2,4,50,4,0,48,0
172,8/6/2022,Aston Villa,Lucas Digne,1993-07-10,LB,90,87,3,21,38,28,4,87,0,1,0,1,0,54,4
173,8/6/2022,Aston Villa,Diego Carlos,1992-10-29,CB,90,80,4,28,49,6,1,80,0,0,NA,2,0,55,0
174,8/6/2022,Aston Villa,Ezri Konsa,1997-01-15,CB,90,74,6,24,51,0,0,74,0,0,NA,0,0,50,0
175,8/6/2022,Aston Villa,Matty Cash,1996-08-14,RB,90,86,1,12,35,40,1,86,3,3,100,2,0,58,2
176,8/6/2022,Aston Villa,Emiliano Martínez,1991-10-07,GK,90,18,15,18,0,0,0,18,0,0,NA,0,0,7,0
177,8/6/2022,Everton,Anthony Gordon,2000-09-19,FW,90,28,0,3,17,10,2,28,2,4,50,3,4,23,2
178,8/6/2022,Everton,Demarai Gray,1996-05-26,"LM,RM",90,38,0,5,15,18,4,38,1,4,25,3,4,23,5
179,8/6/2022,Everton,Alex Iwobi,1996-02-04,CM,90,47,2,13,32,4,1,47,1,1,100,0,0,25,0
180,8/6/2022,Everton,Abdoulaye Doucouré,1992-06-05,CM,90,44,1,11,23,11,4,44,1,1,100,0,0,23,1
181,8/6/2022,Everton,Dwight McNeil,1999-03-16,RM,60,31,0,8,10,14,1,31,3,5,60,0,1,19,1
182,8/6/2022,Everton,Dele Alli,1995-12-22,LM,30,16,0,1,6,9,1,16,0,1,0,1,1,13,0
183,8/6/2022,Everton,Vitaliy Mykolenko,1999-03-27,"LB,CB",90,49,5,16,20,13,0,49,0,0,NA,1,0,23,2
184,8/6/2022,Everton,James Tarkowski,1992-03-11,CB,90,46,9,23,22,3,2,46,0,0,NA,0,0,25,0
185,8/6/2022,Everton,Yerry Mina,1993-11-17,CB,69,25,9,18,7,0,0,25,0,0,NA,0,0,13,0
186,8/6/2022,Everton,Rúben Vinagre,1998-12-17,LB,21,25,1,4,15,6,0,25,0,1,0,1,1,14,0
187,8/6/2022,Everton,Ben Godfrey,1997-07-02,CB,17,6,1,4,2,0,0,6,0,0,NA,0,0,4,0
188,8/6/2022,Everton,Mason Holgate,1996-01-14,CB,73,44,10,20,19,5,2,44,1,1,100,0,0,21,0
189,8/6/2022,Everton,Nathan Patterson,2000-12-31,RB,90,48,3,11,19,20,2,48,1,3,33.3,1,1,23,1
190,8/6/2022,Everton,Jordan Pickford,1993-10-13,GK,90,43,30,42,2,0,0,43,0,0,NA,0,1,19,0
191,8/6/2022,Chelsea,Raheem Sterling,1994-04-18,"FW,LW",90,39,0,1,9,29,4,39,3,5,60,3,7,38,5
192,8/6/2022,Chelsea,Kai Havertz,1999-04-22,LW,74,31,0,2,10,19,6,31,0,1,0,2,1,24,6
193,8/6/2022,Chelsea,Armando Broja,2000-10-20,FW,16,8,0,1,3,5,2,8,2,2,100,1,0,6,1
194,8/6/2022,Chelsea,Mason Mount,1998-06-22,RW,64,37,1,1,11,25,4,37,0,1,0,2,1,30,3
195,8/6/2022,Chelsea,Christian Pulisic,1997-11-06,RW,26,10,0,2,6,3,1,10,1,2,50,1,0,5,1
196,8/6/2022,Chelsea,Ben Chilwell,1996-05-13,LM,64,36,0,7,10,19,0,36,0,0,NA,3,3,29,0
197,8/6/2022,Chelsea,Ruben Loftus-Cheek,1995-07-19,RM,26,18,2,4,12,2,0,18,0,1,0,2,0,10,2
198,8/6/2022,Chelsea,Jorginho,1991-05-13,CM,89,81,4,23,40,18,2,80,0,0,NA,1,3,64,2
199,8/6/2022,Chelsea,Conor Gallagher,1999-08-15,CM,1,3,1,1,0,2,0,3,0,0,NA,0,0,2,0
200,8/6/2022,Chelsea,N'Golo Kanté,1990-11-27,CM,90,80,1,12,40,30,1,80,3,4,75,2,2,62,4
201,8/6/2022,Chelsea,Reece James,1999-04-17,"RM,CB,LM",90,96,3,21,29,46,1,96,1,1,100,0,0,54,2
202,8/6/2022,Chelsea,Kalidou Koulibaly,1991-05-12,CB,74,69,5,22,40,7,1,69,1,1,100,1,0,47,0
203,8/6/2022,Chelsea,Marc Cucurella,1998-07-13,LM,16,23,0,10,6,7,0,23,1,1,100,1,1,15,1
204,8/6/2022,Chelsea,Thiago Silva,1983-11-18,CB,90,88,17,41,46,1,0,88,0,0,NA,1,0,62,0
205,8/6/2022,Chelsea,César Azpilicueta,1988-09-27,CB,90,78,3,24,35,19,1,78,1,1,100,0,0,53,2
206,8/6/2022,Chelsea,Edouard Mendy,1991-10-02,GK,90,29,26,29,0,0,0,29,0,0,NA,0,0,12,0
207,8/7/2022,Leicester City,Jamie Vardy,1986-06-26,FW,90,22,3,3,7,12,2,22,0,1,0,4,0,9,4
