"","Player_Name","DOB","Position"
"188","Philippe Coutinho","1992-06-11","AM"
"189","Lucas Digne","1993-07-19","LB"
"190","Leon Bailey","1997-08-09","RW"
"191","Jacob Ramsey","2001-05-27","LM"
"192","Boubacar Kamara","1999-11-23","CM"
"193","Boubacar Kamara","1999-11-23","DM"
"194","Douglas Luiz","1998-05-09","DM"
"195","Emi Buendía","1996-12-24","LW"
"196","Ollie Watkins","1995-12-30","FW"
"197","Cameron Archer","2001-07-20","AM"
"198","Jordan Pickford","1994-03-07","GK"
"199","James Tarkowski","1992-11-18","CB"
"200","Nathan Patterson","2001-10-16","RB"
"201","Dwight McNeil","1999-11-22","RM"
"202","Anthony Gordon","2001-02-23","FW"
"203","Demarai Gray","1996-06-27","LM"
"204","Demarai Gray","1996-06-27","RM"
"205","Yerry Mina","1994-09-23","CB"
"206","Abdoulaye Doucouré","1992-12-31","CM"
"207","Alex Iwobi","1996-05-02","CM"
"208","Vitaliy Mykolenko","1999-05-29","LB"
"209","Vitaliy Mykolenko","1999-05-29","CB"
"210","Ben Godfrey","1998-01-15","CB"
"211","Mason Holgate","1996-10-21","CB"
"212","Dele Alli","1996-04-10","LM"
"213","Rúben Vinagre","1999-04-09","LB"
"214","Edouard Mendy","1992-02-29","GK"
"215","Jorginho","1991-12-20","CM"
"216","Thiago Silva","1984-09-21","CB"
"217","N'Golo Kanté","1991-03-29","CM"
"218","Raheem Sterling","1994-12-08","FW"
"219","Raheem Sterling","1994-12-08","LW"
"220","Mason Mount","1999-01-10","RW"
"221","Ben Chilwell","1996-12-20","LM"
"222","Reece James","1999-12-08","RM"
"223","Reece James","1999-12-08","CB"
"224","Reece James","1999-12-08","LM"
"225","Kalidou Koulibaly","1991-06-20","CB"
"226","César Azpilicueta","1989-08-28","CB"
"227","Kai Havertz","1999-06-11","LW"
"228","Christian Pulisic","1998-09-18","RW"
"229","Ruben Loftus-Cheek","1996-01-23","RM"
"230","Armando Broja","2001-09-10","FW"
"231","Conor Gallagher","2000-02-06","CM"
"232","Marc Cucurella","1998-07-22","LM"
"233","Danny Ward","1993-06-21","GK"
"234","James Justin","1998-02-23","WB"
"235","Wesley Fofana","2000-12-16","CB"
"236","Jonny Evans","1988-01-03","CB"
"237","Youri Tielemans","1997-05-06","DM"
"238","Youri Tielemans","1997-05-06","CM"
"239","Jamie Vardy","1987-01-11","FW"
"240","James Maddison","1996-11-22","FW"
"241","James Maddison","1996-11-22","AM"
"242","Daniel Amartey","1994-12-21","CB"
"243","Kiernan Dewsbury-Hall","1998-09-06","DM"
"244","Wilfred Ndidi","1996-12-15","DM"
"245","Wilfred Ndidi","1996-12-15","CM"
"246","Timothy Castagne","1995-12-05","WB"
"247","Patson Daka","1998-10-09","FW"
"248","David Raya","1995-09-15","GK"
"249","Aaron Hickey","2002-06-10","RB"
"250","Rico Henry","1997-07-07","LB"
"251","Christian Nørgaard","1994-03-10","CM"
"252","Mathias Jensen","1996-01-01","LM"
"253","Yoane Wissa","1996-09-02","LW"
"254","Yoane Wissa","1996-09-02","LM"
"255","Ben Mee","1989-09-21","CB"
"256","Ivan Toney","1996-03-15","FW"
"257","Pontus Jansson","1991-02-13","CB"
"258","Bryan Mbeumo","1999-08-07","RW"
"259","Bryan Mbeumo","1999-08-07","RB"
"260","Vitaly Janelt","1998-05-10","RM"
"261","Vitaly Janelt","1998-05-10","CB"
"262","Josh Dasilva","1998-10-23","RM"
"263","Josh Dasilva","1998-10-23","CM"
"264","Halil Dervişoğlu","1999-12-08","RM"
"265","Keane Lewis-Potter","2001-02-21","LW"
"266","Keane Lewis-Potter","2001-02-21","LM"
"267","Shandon Baptiste","1998-04-08","CM"
"268","Mads Bech Sørensen","1999-01-07","CB"
"269","David de Gea","1990-11-07","GK"
"270","Harry Maguire","1993-03-04","CB"
"271","Lisandro Martínez","1998-01-18","CB"
"272","Bruno Fernandes","1994-09-08","LM"
"273","Marcus Rashford","1997-10-31","LW"
"274","Christian Eriksen","1992-02-14","FW"
"275","Christian Eriksen","1992-02-14","CM"
"276","Fred","1993-03-04","CM"
"277","Diogo Dalot","1999-03-18","RB"
"278","Luke Shaw","1995-07-12","LB"
"279","Jadon Sancho","2000-03-24","RW"
"280","Scott McTominay","1996-12-07","RM"
"281","Cristiano Ronaldo","1985-02-04","FW"
"282","Tyrell Malacia","1999-08-17","LB"
"283","Donny van de Beek","1997-04-17","RM"
"284","Anthony Elanga","2002-04-27","RW"
"285","Alejandro Garnacho","2004-06-30","LM"
"286","Robert Sánchez","1997-11-18","GK"
"287","Adam Webster","1995-01-04","CB"
"288","Lewis Dunk","1991-11-21","CB"
"289","Solly March","1994-07-20","RW"
"290","Solly March","1994-07-20","LB"
"291","Solly March","1994-07-20","WB"
"292","Alexis Mac Allister","1998-12-24","CM"
"293","Alexis Mac Allister","1998-12-24","DM"
"294","Leandro Trossard","1994-12-04","LW"
"295","Leandro Trossard","1994-12-04","FW"
"296","Pascal Groß","1991-06-15","CM"
"297","Pascal Groß","1991-06-15","RM"
"298","Pascal Groß","1991-06-15","AM"
"299","Adam Lallana","1988-05-09","AM"
"300","Danny Welbeck","1990-11-26","FW"
"301","Moisés Caicedo","2001-11-02","CM"
"302","Moisés Caicedo","2001-11-02","LM"
"303","Moisés Caicedo","2001-11-02","DM"
"304","Joël Veltman","1992-01-15","CB"
"305","Joël Veltman","1992-01-15","RB"
"306","Tariq Lamptey","2000-09-29","RW"
"307","Tariq Lamptey","2000-09-29","WB"
"308","Levi Colwill","2003-02-26","AM"
"309","Enock Mwepu","1998-01-01","LW"
"310","Enock Mwepu","1998-01-01","AM"
"311","Deniz Undav","1996-07-18","FW"
"312","Łukasz Fabiański","1985-04-17","GK"
"313","Ben Johnson","2000-01-24","CB"
"314","Aaron Cresswell","1989-12-15","LB"
"315","Kurt Zouma","1994-10-27","CB"
"316","Vladimír Coufal","1992-08-21","RB"
"317","Pablo Fornals","1996-02-22","LW"
"318","Pablo Fornals","1996-02-22","FW"
"319","Pablo Fornals","1996-02-22","RW"
"320","Michail Antonio","1990-03-28","FW"
"321","Manuel Lanzini","1993-02-14","AM"
"322","Manuel Lanzini","1993-02-14","LW"
"323","Jarrod Bowen","1996-12-19","RW"
"324","Jarrod Bowen","1996-12-19","RM"
"325","Jarrod Bowen","1996-12-19","AM"
"326","Tomáš Souček","1995-02-27","DM"
"327","Tomáš Souček","1995-02-27","CM"
"328","Declan Rice","1999-01-14","DM"
"329","Declan Rice","1999-01-14","CM"
"330","Alphonse Areola","1993-02-26","GK"
"331","Gianluca Scamacca","1999-01-01","FW"
"332","Flynn Downes","1999-01-20","RM"
"333","Saïd Benrahma","1995-08-10","LM"
"334","Saïd Benrahma","1995-08-10","LW"
"335","Conor Coventry","2000-03-24","CM"
"336","Conor Coventry","2000-03-24","FW"
"337","Ederson","1993-08-17","GK"
"338","Kyle Walker","1990-05-28","RB"
"339","Rúben Dias","1997-05-13","CB"
"340","Nathan Aké","1995-02-18","CB"
"341","João Cancelo","1994-05-27","LB"
"342","İlkay Gündoğan","1990-10-24","LM"
"343","Erling Haaland","2000-07-20","FW"
"344","Jack Grealish","1995-09-10","LW"
"345","Rodri","1996-06-21","CM"
"346","Kevin De Bruyne","1991-06-28","RM"
"347","Phil Foden","2000-05-27","RW"
"348","Kalvin Phillips","1995-12-02","CM"
"349","Julián Álvarez","2000-01-31","FW"
"350","Bernardo Silva","1994-08-10","LM"
"351","Riyad Mahrez","1991-02-21","RW"
"352","Cole Palmer","2002-05-06","RM"
"353","Matty Cash","1997-08-06","RB"
"354","Tyrone Mings","1993-03-12","CB"
"355","Ezri Konsa","1997-10-23","RB"
"356","Emi Buendía","1996-12-24","AM"
"357","Emi Buendía","1996-12-24","CM"
"358","Calum Chambers","1995-01-20","CB"
"359","Ashley Young","1985-07-08","RB"
"360","Ashley Young","1985-07-08","LM"
"361","Leon Bailey","1997-08-08","FW"
"362","Leon Bailey","1997-08-08","LM"
"363","Nathan Patterson","2001-10-16","RM"
"364","Dwight McNeil","1999-11-22","RW"
"365","Anthony Gordon","2001-02-23","LW"
"366","Demarai Gray","1996-06-27","LW"
"367","Demarai Gray","1996-06-27","RW"
"368","Alex Iwobi","1996-05-02","RW"
"369","Vitaliy Mykolenko","1999-05-29","LM"
"370","Conor Coady","1993-02-24","CB"
"371","Amadou Onana","2001-08-16","DM"
"372","Dele Alli","1996-04-10","AM"
"373","Tom Davies","1998-06-30","CM"
"374","Tom Davies","1998-06-30","DM"
"375","Salomón Rondón","1989-09-16","FW"
"376","İlkay Gündoğan","1990-10-24","DM"
"377","Rodri","1996-06-21","DM"
"378","Kevin De Bruyne","1991-06-28","AM"
"379","Phil Foden","2000-05-27","LW"
"380","John Stones","1994-05-28","CB"
"381","Rico Lewis","2004-11-20","RB"
"382","Jefferson Lerma","1994-10-25","CM"
"383","Jack Stacey","1996-04-05","WB"
"384","Jamal Lowe","1994-07-21","FW"
"385","Junior Stanislas","1989-11-26","AM"
"386","Marcos Senesi","1997-05-09","CB"
"387","Philip Billing","1996-06-10","AM"
"388","Kyle Walker-Peters","1997-04-12","WB"
"389","James Ward-Prowse","1994-11-01","DM"
"390","Che Adams","1996-07-12","FW"
"391","Stuart Armstrong","1992-03-29","AM"
"392","Moussa Djenepo","1998-06-15","WB"
"393","Mohamed Elyounoussi","1994-08-04","AM"
"394","Armel Bella Kotchap","2001-12-11","CB"
"395","Roméo Lavia","2004-01-06","DM"
"396","Jack Stephens","1994-01-27","LB"
"397","Joe Aribo","1996-07-20","AM"
"398","Sekou Mara","2002-07-30","AM"
"399","Brenden Aaronson","2000-10-21","AM"
"400","Rodrigo","1991-03-06","FW"
"401","Adam Forshaw","1991-10-08","DM"
"402","Daniel James","1997-11-10","RW"
"403","Daniel James","1997-11-10","FW"
"404","Luis Sinisterra","1999-06-17","LW"
"405","Mateusz Klich","1990-06-13","LW"
"406","Daniel Podence","1995-10-21","AM"
"407","Morgan Gibbs-White","2000-01-27","RW"
"408","Gonçalo Guedes","1996-11-28","FW"
"409","Nélson Semedo","1993-11-16","RB"
"410","Adama Traoré","1996-01-25","LW"
"411","Neeskens Kebano","1992-03-09","LW"
"412","Antonee Robinson","1997-08-07","LB"
"413","Kevin Mbabu","1995-04-19","RB"
"414","Tyrese Francois","2000-07-15","LW"
"415","Tyrese Francois","2000-07-15","RB"
"416","Jay Stansfield","2002-11-24","RW"
"417","Jay Stansfield","2002-11-24","LW"
"418","Thomas Partey","1993-06-12","DM"
"419","Martin Ødegaard","1998-12-17","AM"
"420","Martinelli","2001-06-17","RW"
"421","Granit Xhaka","1992-09-26","DM"
"422","Emile Smith Rowe","2000-07-27","LW"
"423","Takehiro Tomiyasu","1998-11-05","RB"
"424","James Justin","1998-02-23","LB"
"425","Jamie Vardy","1987-01-11","LW"
"426","James Maddison","1996-11-22","RW"
"427","Kiernan Dewsbury-Hall","1998-09-06","LM"
"428","Timothy Castagne","1995-12-05","RB"
"429","Kelechi Iheanacho","1996-10-02","FW"
"430","Dennis Praet","1994-05-14","RM"
"431","Leandro Trossard","1994-12-04","WB"
"432","Pascal Groß","1991-06-15","FW"
"433","Enock Mwepu","1998-01-01","FW"
"434","Kaoru Mitoma","1997-05-19","WB"
"435","Dan Burn","1992-05-08","LB"
"436","Mathias Jensen","1996-01-01","CM"
"437","Bryan Mbeumo","1999-08-07","FW"
"438","Mads Roerslev","1999-06-24","CB"
"439","Mads Roerslev","1999-06-24","RB"
"440","Yoane Wissa","1996-09-02","FW"
"441","Frank Onyeka","1998-01-01","CM"
"442","Vitaly Janelt","1998-05-10","CM"
"443","Bruno Fernandes","1994-09-08","AM"
"444","Christian Eriksen","1992-02-14","DM"
"445","Fred","1993-03-04","DM"
"446","Raphaël Varane","1993-04-24","CB"
"447","Donny van de Beek","1997-04-17","DM"
"448","Scott McTominay","1996-12-07","DM"
"449","Taiwo Awoniyi","1997-08-11","FW"
"450","Steve Cook","1991-04-19","CB"
"451","Cafú","1993-02-25","CM"
"452","Pablo Fornals","1996-02-22","LM"
"453","Tomáš Souček","1995-02-27","RM"
"454","Maxwel Cornet","1996-09-26","RW"
"455","Ruben Loftus-Cheek","1996-01-23","WB"
"456","Ruben Loftus-Cheek","1996-01-23","CM"
"457","Raheem Sterling","1994-12-08","AM"
"458","Mason Mount","1999-01-10","CM"
"459","Mason Mount","1999-01-10","AM"
"460","Reece James","1999-12-08","WB"
"461","Kai Havertz","1999-06-11","FW"
"462","Marc Cucurella","1998-07-22","WB"
"463","Christian Pulisic","1998-09-18","AM"
"464","Son Heung-min","1992-07-07","LM"
"465","Emerson","1999-01-14","RB"
"466","Dejan Kulusevski","2000-04-24","RM"
"467","Ben Davies","1993-04-23","LB"
"468","Richarlison","1997-05-09","FW"
"469","Ivan Perišić","1989-02-01","LM"
"470","Lucas Moura","1992-08-12","RB"
"471","Mohamed Salah","1992-06-14","FW"
"472","Luis Díaz","1997-01-12","FW"
"473","Nathaniel Phillips","1997-03-20","CB"
"474","Joe Gomez","1997-05-22","CB"
"475","Jordan Henderson","1990-06-17","LM"
"476","Kostas Tsimikas","1996-05-11","LB"
"477","Joel Ward","1989-10-29","CB"
"478","Jordan Ayew","1991-09-11","RM"
"479","Eberechi Eze","1998-06-29","LM"
"480","Wilfried Zaha","1992-11-09","FW"
"481","Jeffrey Schlupp","1992-12-22","CM"
"482","Jeffrey Schlupp","1992-12-22","LM"
"483","Nathaniel Clyne","1991-04-05","LB"
"484","Cheick Doucouré","2000-01-08","CM"
"485","Luka Milivojević","1991-04-07","CM"
"486","Michael Olise","2001-12-12","CM"
"487","Will Hughes","1995-04-17","CM"
"488","Odsonne Édouard","1998-01-16","RM"
"489","Chris Richards","2000-03-27","RB"
"490","Davinson Sánchez","1996-06-11","CB"
"491","Richarlison","1997-05-09","AM"
"492","Rayan Aït Nouri","2001-06-05","WB"
"493","Pedro Neto","2000-03-08","WB"
"494","Rúben Neves","1997-03-12","CM"
"495","Daniel Podence","1995-10-21","FW"
"496","Jonny Castro","1994-03-03","CB"
"497","Matheus Nunes","1998-08-27","CM"
"498","João Moutinho","1986-09-08","CM"
"499","Raúl Jiménez","1991-05-05","FW"
"500","Nélson Semedo","1993-11-16","WB"
"501","Leander Dendoncker","1995-04-15","CM"
"502","Adama Traoré","1996-01-25","WB"
"503","Harvey Barnes","1997-12-09","LM"
"504","Harvey Barnes","1997-12-09","LW"
"505","James Maddison","1996-11-22","CM"
"506","Ayoze Pérez","1993-07-28","RM"
"507","Kiernan Dewsbury-Hall","1998-09-06","CM"
"508","Kiernan Dewsbury-Hall","1998-09-06","LW"
"509","Kiernan Dewsbury-Hall","1998-09-06","AM"
"510","Kelechi Iheanacho","1996-10-02","RW"
"511","Joe Aribo","1996-07-20","RW"
"512","Adam Armstrong","1997-02-09","LW"
"513","Sekou Mara","2002-07-30","FW"
"514","Mohamed Elyounoussi","1994-08-04","RW"
"515","Mohamed Elyounoussi","1994-08-04","RM"
"516","Lyanco","1997-01-31","CB"
"517","Stuart Armstrong","1992-03-29","LW"
"518","Anthony Gordon","2001-02-23","RW"
"519","Amadou Onana","2001-08-15","CM"
"520","Jesse Lingard","1992-12-14","FW"
"521","Lewis O'Brien","1998-10-14","AM"
"522","Morgan Gibbs-White","2000-01-27","FW"
"523","Cheikhou Kouyaté","1989-12-21","CM"
"524","Ryan Yates","1997-11-21","CM"
"525","Joel Ward","1989-10-29","RB"
"526","Eberechi Eze","1998-06-29","LW"
"527","Jeffrey Schlupp","1992-12-22","RM"
"528","Cheick Doucouré","2000-01-08","LM"
"529","Michael Olise","2001-12-12","RW"
"530","Michael Olise","2001-12-12","RM"
"531","Will Hughes","1995-04-17","RM"
"532","Chris Richards","2000-03-27","CB"
"533","Ollie Watkins","1995-12-30","RW"
"534","Leon Bailey","1997-08-08","RW"
"535","Douglas Luiz","1998-05-09","RM"
"536","Bernd Leno","1992-03-03","GK"
"537","Shane Duffy","1992-01-01","FW"
"538","Tom Cairney","1991-01-20","RW"
"539","Rico Henry","1997-07-07","LM"
"540","Bryan Mbeumo","1999-08-07","RM"
"541","Saman Ghoddos","1993-09-06","LW"
"542","Keane Lewis-Potter","2001-02-21","RW"
"543","Jefferson Lerma","1994-10-25","DM"
"544","Adam Smith","1991-04-29","RB"
"545","Adam Smith","1991-04-29","RW"
"546","Marcus Tavernier","1999-03-22","RW"
"547","Marcus Tavernier","1999-03-22","CM"
"548","Philip Billing","1996-06-10","FW"
"549","Jordan Zemura","1999-11-14","LB"
"550","Jordan Zemura","1999-11-14","LW"
"551","Lewis Cook","1997-02-02","DM"
"552","Jaidon Anthony","1999-12-01","LW"
"553","Gabriel Jesus","1997-04-02","RW"
"554","Kieran Tierney","1997-06-04","LW"
"555","Kieran Tierney","1997-06-04","RW"
"556","Emile Smith Rowe","2000-07-27","AM"
"557","Eddie Nketiah","1999-05-30","LW"
"558","Albert Sambi Lokonga","1999-10-22","DM"
"559","Diego Llorente","1993-08-15","CB"
"560","Luis Sinisterra","1999-06-17","RW"
"561","Sam Greenwood","2002-01-26","LW"
"562","Jorginho","1991-12-20","DM"
"563","Ruben Loftus-Cheek","1996-01-23","DM"
"564","Raheem Sterling","1994-12-08","CM"
"565","Mason Mount","1999-01-10","LM"
"566","Conor Gallagher","2000-02-06","RM"
"567","Reece James","1999-12-08","RB"
"568","Reece James","1999-12-08","RW"
"569","Marc Cucurella","1998-07-22","LB"
"570","Marc Cucurella","1998-07-22","CB"
"571","Christian Pulisic","1998-09-18","FW"
"572","Christian Pulisic","1998-09-18","RM"
"573","Ben Chilwell","1996-12-20","LW"
"574","Hakim Ziyech","1993-03-18","CM"
"575","Pablo Fornals","1996-02-22","AM"
"576","Thilo Kehrer","1996-09-20","CB"
"577","Ben Johnson","2000-01-24","RB"
"578","Gianluca Scamacca","1999-01-01","AM"
"579","Maxwel Cornet","1996-09-26","LW"
"580","Maxwel Cornet","1996-09-26","FW"
"581","Pascal Groß","1991-06-15","DM"
"582","Adam Lallana","1988-05-09","FW"
"583","Enock Mwepu","1998-01-01","RW"
"584","Kaoru Mitoma","1997-05-19","LW"
"585","Pervis Estupiñán","1998-01-21","LB"
"586","Emil Krafth","1994-08-02","LB"
"587","Jacob Murphy","1995-02-24","RW"
"588","Ederson","1993-08-16","GK"
"589","Bernardo Silva","1994-08-10","RW"
"590","Bruno Fernandes","1994-09-08","RW"
"591","Marcus Rashford","1997-10-31","FW"
"592","Christian Eriksen","1992-02-14","RM"
"593","Anthony Elanga","2002-04-27","LW"
"594","Scott McTominay","1996-12-07","CM"
"595","Cristiano Ronaldo","1985-02-04","LW"
"596","Anthony Martial","1995-12-05","FW"
"597","Fred","1993-03-04","LM"
"598","Aaron Wan-Bissaka","1997-11-26","RB"
"599","Fabio Carvalho","2002-08-30","LM"
"600","Adam Armstrong","1997-02-09","RW"
"601","Mohamed Elyounoussi","1994-08-04","LW"
"602","Lyanco","1997-01-31","AM"
"603","Sekou Mara","2002-07-30","RW"
"604","Christian Eriksen","1992-02-14","AM"
"605","Jadon Sancho","2000-03-24","LW"
"606","Fred","1993-03-04","AM"
"607","Casemiro","1992-02-23","DM"
"608","Bernardo Silva","1994-08-10","DM"
"609","Phil Foden","2000-05-27","LB"
"610","Julián Álvarez","2000-01-31","LW"
